Artikel;article_description;Bruttobetrag;Nettobetrag;Verkaufte_Stücke;Gewicht_verkauft;Durchschnittlicher_Preis;umsatz_tot;origin;year;date
A10000;Catering;45.3;45.3;7;NA;6.47;2.53;01.09.csv;2015;01.09.2015
A10001;Favorite;878;878;108;NA;8.13;49.01;01.09.csv;2015;01.09.2015
A10002;Green;312;312;39;NA;8;17.42;01.09.csv;2015;01.09.2015
A10006;Menu Salat;74;74;46;NA;1.61;4.13;01.09.csv;2015;01.09.2015
A10013;Kitchen 3;145;145;12;NA;12.08;8.09;01.09.csv;2015;01.09.2015
A10020;Local 0;157;157;20;NA;7.85;8.76;01.09.csv;2015;01.09.2015
A10040;Garden;149.5;149.5;19;6.456;23.16;8.34;01.09.csv;2015;01.09.2015
A10071;Quark;1.7;1.7;1;NA;1.7;0.09;01.09.csv;2015;01.09.2015
A10101;Ragusa-Gipfel;2.9;2.9;1;NA;2.9;0.16;01.09.csv;2015;01.09.2015
A10124;Kirschenstange;2.4;2.4;1;NA;2.4;0.13;01.09.csv;2015;01.09.2015
A10136;Muffin;3;3;1;NA;3;0.17;01.09.csv;2015;01.09.2015
A10200;Birchermüesli Classic;3.2;3.2;1;NA;3.2;0.18;01.09.csv;2015;01.09.2015
A10400;Sandwich klein;8;8;2;NA;4;0.45;01.09.csv;2015;01.09.2015
A10405;Sandwich;9.5;9.5;2;NA;4.75;0.53;01.09.csv;2015;01.09.2015
A10000;Catering;33.7;33.7;3;NA;11.23;1.81;02.09.csv;2015;02.09.2015
A10001;Favorite;801;801;97;NA;8.26;43.11;02.09.csv;2015;02.09.2015
A10002;Green;486;486;57;NA;8.53;26.15;02.09.csv;2015;02.09.2015
A10006;Menu Salat;14.5;14.5;9;NA;1.61;0.78;02.09.csv;2015;02.09.2015
A10007;Senf Mayo Ketschup;0.5;0.5;1;NA;0.5;0.03;02.09.csv;2015;02.09.2015
A10020;Local 0;388;388;48;NA;8.08;20.88;02.09.csv;2015;02.09.2015
A10030;Market;11;11;1;0.44;25;0.59;02.09.csv;2015;02.09.2015
A10040;Garden;79.1;79.1;10;3.44;22.99;4.26;02.09.csv;2015;02.09.2015
A10071;Quark;1.7;1.7;1;NA;1.7;0.09;02.09.csv;2015;02.09.2015
A10072;Schichtjoghurt;3;3;1;NA;3;0.16;02.09.csv;2015;02.09.2015
A10104;Schoggi-Gipfel;2.9;2.9;1;NA;2.9;0.16;02.09.csv;2015;02.09.2015
A10110;Sonnenblumenbrötli;1.9;1.9;1;NA;1.9;0.1;02.09.csv;2015;02.09.2015
A10148;Fruchttörtli;8.7;8.7;3;NA;2.9;0.47;02.09.csv;2015;02.09.2015
A10200;Birchermüesli Classic;3.7;3.7;1;NA;3.7;0.2;02.09.csv;2015;02.09.2015
A10400;Sandwich klein;4;4;1;NA;4;0.22;02.09.csv;2015;02.09.2015
A10401;Sandwich Mittel;5;5;1;NA;5;0.27;02.09.csv;2015;02.09.2015
A10405;Sandwich;13.5;13.5;3;NA;4.5;0.73;02.09.csv;2015;02.09.2015
A10000;Catering;22;22;5;NA;4.4;1.48;03.09.csv;2015;03.09.2015
A10001;Favorite;639;639;77;NA;8.3;43.05;03.09.csv;2015;03.09.2015
A10002;Green;277;277;35;NA;7.91;18.66;03.09.csv;2015;03.09.2015
A10006;Menu Salat;51.5;51.5;33;NA;1.56;3.47;03.09.csv;2015;03.09.2015
A10007;Senf Mayo Ketschup;0.5;0.5;1;NA;0.5;0.03;03.09.csv;2015;03.09.2015
A10011;Kitchen 1;274;274;27;NA;10.15;18.46;03.09.csv;2015;03.09.2015
A10020;Local 0;80;80;10;NA;8;5.39;03.09.csv;2015;03.09.2015
A10030;Market;7;7;1;0.306;22.88;0.47;03.09.csv;2015;03.09.2015
A10040;Garden;92.6;92.6;12;4.024;23.01;6.24;03.09.csv;2015;03.09.2015
A10063;Frucht 1.00;2;2;2;NA;1;0.13;03.09.csv;2015;03.09.2015
A10071;Quark;1.7;1.7;1;NA;1.7;0.11;03.09.csv;2015;03.09.2015
A10101;Ragusa-Gipfel;2.4;2.4;1;NA;2.4;0.16;03.09.csv;2015;03.09.2015
A10136;Muffin;6;6;2;NA;3;0.4;03.09.csv;2015;03.09.2015
A10148;Fruchttörtli;4.8;4.8;2;NA;2.4;0.32;03.09.csv;2015;03.09.2015
A10200;Birchermüesli Classic;6.4;6.4;2;NA;3.2;0.43;03.09.csv;2015;03.09.2015
A10400;Sandwich klein;4;4;1;NA;4;0.27;03.09.csv;2015;03.09.2015
A10405;Sandwich;13.5;13.5;3;NA;4.5;0.91;03.09.csv;2015;03.09.2015
A10000;Catering;23;23;4;NA;5.75;1.54;04.09.csv;2015;04.09.2015
A10001;Favorite;456;456;54;NA;8.44;30.59;04.09.csv;2015;04.09.2015
A10002;Green;288;288;36;NA;8;19.32;04.09.csv;2015;04.09.2015
A10006;Menu Salat;6;6;4;NA;1.5;0.4;04.09.csv;2015;04.09.2015
A10007;Senf Mayo Ketschup;0.5;0.5;1;NA;0.5;0.03;04.09.csv;2015;04.09.2015
A10011;Kitchen 1;108;108;11;NA;9.82;7.24;04.09.csv;2015;04.09.2015
A10014;Kitchen 4;512;512;40;NA;12.8;34.34;04.09.csv;2015;04.09.2015
A10040;Garden;58.7;58.7;6;2.48;23.67;3.94;04.09.csv;2015;04.09.2015
A10110;Sonnenblumenbrötli;1.9;1.9;1;NA;1.9;0.13;04.09.csv;2015;04.09.2015
A10200;Birchermüesli Classic;3.7;3.7;1;NA;3.7;0.25;04.09.csv;2015;04.09.2015
A10400;Sandwich klein;9;9;2;NA;4.5;0.6;04.09.csv;2015;04.09.2015
A10403;Bagel 1;5.5;5.5;1;NA;5.5;0.37;04.09.csv;2015;04.09.2015
A10405;Sandwich;18.5;18.5;4;NA;4.63;1.24;04.09.csv;2015;04.09.2015
A10000;Catering;57.1;57.1;12;NA;4.76;2.2;07.09.csv;2015;07.09.2015
A10001;Favorite;473;473;61;NA;7.75;18.25;07.09.csv;2015;07.09.2015
A10002;Green;641;641;84;NA;7.63;24.73;07.09.csv;2015;07.09.2015
A10006;Menu Salat;49;49;32;NA;1.53;1.89;07.09.csv;2015;07.09.2015
A10013;Kitchen 3;590;590;50;NA;11.8;22.76;07.09.csv;2015;07.09.2015
A10020;Local 0;515;515;70;NA;7.36;19.87;07.09.csv;2015;07.09.2015
A10040;Garden;140.4;140.4;20;6.048;23.21;5.42;07.09.csv;2015;07.09.2015
A10072;Schichtjoghurt;3;3;1;NA;3;0.12;07.09.csv;2015;07.09.2015
A10073;Saisonfrüchte geschnitten;7;7;2;NA;3.5;0.27;07.09.csv;2015;07.09.2015
