Artikel,article_description,Bruttobetrag,Nettobetrag,Verkaufte_Stücke,Gewicht_verkauft,Durchschnittlicher_Preis,umsatz_tot,origin,year,date
A10000,Catering,11.2,11.2,4,NA,2.8,1.12,01.09.csv,2015,01.09.2015
A10001,Favorite,479,479,58,NA,8.26,47.78,01.09.csv,2015,01.09.2015
A10002,Green,216,216,28,NA,7.71,21.54,01.09.csv,2015,01.09.2015
A100030,nur Fleisch Kitchen,8,8,1,NA,8,0.8,01.09.csv,2015,01.09.2015
A10006,Menu Salat,6,6,4,NA,1.5,0.6,01.09.csv,2015,01.09.2015
A10013,Kitchen 3,131,131,11,NA,11.91,13.07,01.09.csv,2015,01.09.2015
A10021,Local 1,112,112,10,NA,11.2,11.17,01.09.csv,2015,01.09.2015
A10040,Garden,36.4,36.4,5,1.584,22.98,3.63,01.09.csv,2015,01.09.2015
A104021,Fleischkäse / Semmeli,3,3,1,NA,3,0.3,01.09.csv,2015,01.09.2015
A10000,Catering,6,6,1,NA,6,0.89,02.09.csv,2015,02.09.2015
A10001,Favorite,407,407,53,NA,7.68,60.37,02.09.csv,2015,02.09.2015
A10002,Green,127,127,17,NA,7.47,18.84,02.09.csv,2015,02.09.2015
A10006,Menu Salat,1.5,1.5,1,NA,1.5,0.22,02.09.csv,2015,02.09.2015
A10020,Local 0,87,87,11,NA,7.91,12.9,02.09.csv,2015,02.09.2015
A10040,Garden,31.8,31.8,5,1.384,22.98,4.72,02.09.csv,2015,02.09.2015
A10063,Frucht 1.00,1,1,1,NA,1,0.15,02.09.csv,2015,02.09.2015
A10073,Saisonfrüchte geschnitten,3.5,3.5,1,NA,3.5,0.52,02.09.csv,2015,02.09.2015
A10114,Fitnessbrötli ,1.7,1.7,1,NA,1.7,0.25,02.09.csv,2015,02.09.2015
A10200,Birchermüesli Classic,3.2,3.2,1,NA,3.2,0.47,02.09.csv,2015,02.09.2015
A10405,Sandwich,4.5,4.5,1,NA,4.5,0.67,02.09.csv,2015,02.09.2015
A10001,Favorite,332,332,43,NA,7.72,37.56,03.09.csv,2015,03.09.2015
A10002,Green,202,202,26,NA,7.77,22.85,03.09.csv,2015,03.09.2015
A10006,Menu Salat,39,39,26,NA,1.5,4.41,03.09.csv,2015,03.09.2015
A10011,Kitchen 1,117,117,12,NA,9.75,13.24,03.09.csv,2015,03.09.2015
A10020,Local 0,60,60,8,NA,7.5,6.79,03.09.csv,2015,03.09.2015
A10021,Local 1,20,20,2,NA,10,2.26,03.09.csv,2015,03.09.2015
A10040,Garden,54.6,54.6,9,2.37,23.04,6.18,03.09.csv,2015,03.09.2015
A10072,Schichtjoghurt,3,3,1,NA,3,0.34,03.09.csv,2015,03.09.2015
A10102,Mandelgipfel ,19.2,19.2,8,NA,2.4,2.17,03.09.csv,2015,03.09.2015
A10136,Muffin,27.5,27.5,11,NA,2.5,3.11,03.09.csv,2015,03.09.2015
A10200,Birchermüesli Classic,9.6,9.6,3,NA,3.2,1.09,03.09.csv,2015,03.09.2015
A10001,Favorite,181,181,24,NA,7.54,23.39,04.09.csv,2015,04.09.2015
A10002,Green,173,173,22,NA,7.86,22.36,04.09.csv,2015,04.09.2015
A10006,Menu Salat,10.5,10.5,7,NA,1.5,1.36,04.09.csv,2015,04.09.2015
A10014,Kitchen 4,320,320,25,NA,12.8,41.35,04.09.csv,2015,04.09.2015
A10020,Local 0,59,59,8,NA,7.38,7.62,04.09.csv,2015,04.09.2015
A10040,Garden,17.1,17.1,4,0.744,22.98,2.21,04.09.csv,2015,04.09.2015
A10071,Quark,1.7,1.7,1,NA,1.7,0.22,04.09.csv,2015,04.09.2015
A10073,Saisonfrüchte geschnitten,3.5,3.5,1,NA,3.5,0.45,04.09.csv,2015,04.09.2015
A10101,Ragusa-Gipfel ,2.4,2.4,1,NA,2.4,0.31,04.09.csv,2015,04.09.2015
A10147,Pariser Gipfel,1.6,1.6,1,NA,1.6,0.21,04.09.csv,2015,04.09.2015
A10400,Sandwich klein,4,4,1,NA,4,0.52,04.09.csv,2015,04.09.2015
A10000,Catering,2.3,2.3,1,NA,2.3,0.14,07.09.csv,2015,07.09.2015
A10001,Favorite,442,442,60,NA,7.37,26.8,07.09.csv,2015,07.09.2015
A10002,Green,482,482,67,NA,7.19,29.22,07.09.csv,2015,07.09.2015
A10006,Menu Salat,42,42,28,NA,1.5,2.55,07.09.csv,2015,07.09.2015
A10007,Senf Mayo Ketschup,0.5,0.5,1,NA,0.5,0.03,07.09.csv,2015,07.09.2015
A10013,Kitchen 3,347,347,30,NA,11.57,21.04,07.09.csv,2015,07.09.2015
A10020,Local 0,228,228,32,NA,7.13,13.82,07.09.csv,2015,07.09.2015
A10040,Garden,28.7,28.7,6,1.23,23.33,1.74,07.09.csv,2015,07.09.2015
A10073,Saisonfrüchte geschnitten,3.5,3.5,1,NA,3.5,0.21,07.09.csv,2015,07.09.2015
A10100,Gipfel,1.3,1.3,1,NA,1.3,0.08,07.09.csv,2015,07.09.2015
A10116,Semmel ,1.4,1.4,1,NA,1.4,0.08,07.09.csv,2015,07.09.2015
A10126,Apfel im Schlafrock,2.4,2.4,1,NA,2.4,0.15,07.09.csv,2015,07.09.2015
A10135,Wähe,3.9,3.9,1,NA,3.9,0.24,07.09.csv,2015,07.09.2015
A10150,Spinatstrudel,5,5,2,NA,2.5,0.3,07.09.csv,2015,07.09.2015
A10151,Pouletstrudel,2.5,2.5,1,NA,2.5,0.15,07.09.csv,2015,07.09.2015
A10200,Birchermüesli Classic,6.4,6.4,2,NA,3.2,0.39,07.09.csv,2015,07.09.2015
A10201,Birchermüesli Saisonal,4.9,4.9,1,NA,4.9,0.3,07.09.csv,2015,07.09.2015
A10409,Sandwich Appenzell,6.5,6.5,1,NA,6.5,0.39,07.09.csv,2015,07.09.2015
A10410,Sandwich Milano,4,4,1,NA,4,0.24,07.09.csv,2015,07.09.2015
A10413,Sandwich Start Your Day,13.5,13.5,3,NA,4.5,0.82,07.09.csv,2015,07.09.2015
A10414,Sandwich Ham & Cheese,5.5,5.5,1,NA,5.5,0.33,07.09.csv,2015,07.09.2015
A10416,Sandwich Ticinese,12,12,2,NA,6,0.73,07.09.csv,2015,07.09.2015
A10418,Sandwich Gruyere Semmel,4,4,1,NA,4,0.24,07.09.csv,2015,07.09.2015
A10000,Catering,44.3,44.3,17,NA,2.61,2.57,08.09.csv,2015,08.09.2015
A10001,Favorite,359,359,49,NA,7.33,20.82,08.09.csv,2015,08.09.2015
A10002,Green,378,378,51,NA,7.41,21.92,08.09.csv,2015,08.09.2015
A10006,Menu Salat,50.5,50.5,33,NA,1.53,2.93,08.09.csv,2015,08.09.2015
A10012,Kitchen 2,479,479,47,NA,10.19,27.78,08.09.csv,2015,08.09.2015
A10020,Local 0,345,345,45,NA,7.67,20.01,08.09.csv,2015,08.09.2015
A10021,Local 1,9,9,1,NA,9,0.52,08.09.csv,2015,08.09.2015
A10040,Garden,37.6,37.6,6,1.64,22.93,2.18,08.09.csv,2015,08.09.2015
A10063,Frucht 1.00,1,1,1,NA,1,0.06,08.09.csv,2015,08.09.2015
A10100,Gipfel,1.3,1.3,1,NA,1.3,0.08,08.09.csv,2015,08.09.2015
A10104,Schoggi-Gipfel ,2.4,2.4,1,NA,2.4,0.14,08.09.csv,2015,08.09.2015
A10122,Nussbrille,2.5,2.5,1,NA,2.5,0.15,08.09.csv,2015,08.09.2015
A10135,Wähe,3.9,3.9,1,NA,3.9,0.23,08.09.csv,2015,08.09.2015
A10136,Muffin,2.5,2.5,1,NA,2.5,0.15,08.09.csv,2015,08.09.2015
A10147,Pariser Gipfel,1.6,1.6,1,NA,1.6,0.09,08.09.csv,2015,08.09.2015
A10150,Spinatstrudel,2.5,2.5,1,NA,2.5,0.15,08.09.csv,2015,08.09.2015
A10410,Sandwich Milano,4,4,1,NA,4,0.23,08.09.csv,2015,08.09.2015
A10000,Catering,6.5,6.5,8,NA,0.81,0.5,09.09.csv,2015,09.09.2015
A10001,Favorite,540,540,74,NA,7.3,41.26,09.09.csv,2015,09.09.2015
A10002,Green,154,154,21,NA,7.33,11.77,09.09.csv,2015,09.09.2015
A100039,Portion Pommes,5.5,5.5,1,NA,5.5,0.42,09.09.csv,2015,09.09.2015
A10006,Menu Salat,51,51,34,NA,1.5,3.9,09.09.csv,2015,09.09.2015
A10014,Kitchen 4,87,87,7,NA,12.43,6.65,09.09.csv,2015,09.09.2015
A10020,Local 0,348,348,47,NA,7.4,26.59,09.09.csv,2015,09.09.2015
A10040,Garden,70.9,70.9,12,3.082,23,5.42,09.09.csv,2015,09.09.2015
A10063,Frucht 1.00,2,2,2,NA,1,0.15,09.09.csv,2015,09.09.2015
A10073,Saisonfrüchte geschnitten,3.5,3.5,1,NA,3.5,0.27,09.09.csv,2015,09.09.2015
A10108,Laugenbrezel mit Butter,2.2,2.2,1,NA,2.2,0.17,09.09.csv,2015,09.09.2015
A10135,Wähe,3.9,3.9,1,NA,3.9,0.3,09.09.csv,2015,09.09.2015
A10136,Muffin,2.5,2.5,1,NA,2.5,0.19,09.09.csv,2015,09.09.2015
A10144,Trockengebäck 100g verpackt,2.2,2.2,1,NA,2.2,0.17,09.09.csv,2015,09.09.2015
A10150,Spinatstrudel,2.5,2.5,1,NA,2.5,0.19,09.09.csv,2015,09.09.2015
A10152,Wienerli im Teig,2.5,2.5,1,NA,2.5,0.19,09.09.csv,2015,09.09.2015
A10153,Calzone,3.5,3.5,1,NA,3.5,0.27,09.09.csv,2015,09.09.2015
A10200,Birchermüesli Classic,3.2,3.2,1,NA,3.2,0.24,09.09.csv,2015,09.09.2015
A10201,Birchermüesli Saisonal,4.9,4.9,1,NA,4.9,0.37,09.09.csv,2015,09.09.2015
A10405,Sandwich,9,9,2,NA,4.5,0.69,09.09.csv,2015,09.09.2015
A10410,Sandwich Milano,4,4,1,NA,4,0.31,09.09.csv,2015,09.09.2015
A10001,Favorite,433,433,60,NA,7.22,32.35,10.09.csv,2015,10.09.2015
A10002,Green,268,268,37,NA,7.24,20.02,10.09.csv,2015,10.09.2015
A10006,Menu Salat,49.5,49.5,33,NA,1.5,3.7,10.09.csv,2015,10.09.2015
A10010,Kitchen 0,8,8,1,NA,8,0.6,10.09.csv,2015,10.09.2015
A10013,Kitchen 3,250,250,22,NA,11.36,18.68,10.09.csv,2015,10.09.2015
A10020,Local 0,259,259,35,NA,7.4,19.35,10.09.csv,2015,10.09.2015
A10021,Local 1,10,10,1,NA,10,0.75,10.09.csv,2015,10.09.2015
A10040,Garden,22.9,22.9,4,0.996,22.99,1.71,10.09.csv,2015,10.09.2015
A10062,Frucht -.90,0.9,0.9,1,NA,0.9,0.07,10.09.csv,2015,10.09.2015
A10101,Ragusa-Gipfel ,7.2,7.2,3,NA,2.4,0.54,10.09.csv,2015,10.09.2015
A10112,Maisbrötli,1.7,1.7,1,NA,1.7,0.13,10.09.csv,2015,10.09.2015
A10115,Kaisersemmel ,1.4,1.4,1,NA,1.4,0.1,10.09.csv,2015,10.09.2015
A10136,Muffin,2.5,2.5,1,NA,2.5,0.19,10.09.csv,2015,10.09.2015
A10143,Trockengebäck Lyner verpackt,2.4,2.4,1,NA,2.4,0.18,10.09.csv,2015,10.09.2015
A10150,Spinatstrudel,2.5,2.5,1,NA,2.5,0.19,10.09.csv,2015,10.09.2015
A10200,Birchermüesli Classic,3.2,3.2,1,NA,3.2,0.24,10.09.csv,2015,10.09.2015
A10201,Birchermüesli Saisonal,9.8,9.8,2,NA,4.9,0.73,10.09.csv,2015,10.09.2015
A10422,Sandwich Turkey Classic,6.5,6.5,1,NA,6.5,0.49,10.09.csv,2015,10.09.2015
A10001,Favorite,241,241,31,NA,7.77,32.18,11.09.csv,2015,11.09.2015
A10002,Green,116,116,15,NA,7.73,15.49,11.09.csv,2015,11.09.2015
A10005,Menu Suppe,4.5,4.5,3,NA,1.5,0.6,11.09.csv,2015,11.09.2015
A10006,Menu Salat,39,39,26,NA,1.5,5.21,11.09.csv,2015,11.09.2015
A10014,Kitchen 4,155,155,12,NA,12.92,20.7,11.09.csv,2015,11.09.2015
A10020,Local 0,123,123,16,NA,7.69,16.43,11.09.csv,2015,11.09.2015
A10040,Garden,47.5,47.5,8,2.064,23.01,6.34,11.09.csv,2015,11.09.2015
A10102,Mandelgipfel ,12,12,5,NA,2.4,1.6,11.09.csv,2015,11.09.2015
A10112,Maisbrötli,1.7,1.7,1,NA,1.7,0.23,11.09.csv,2015,11.09.2015
A10115,Kaisersemmel ,1.4,1.4,1,NA,1.4,0.19,11.09.csv,2015,11.09.2015
A10200,Birchermüesli Classic,3.2,3.2,1,NA,3.2,0.43,11.09.csv,2015,11.09.2015
A10413,Sandwich Start Your Day,4.5,4.5,1,NA,4.5,0.6,11.09.csv,2015,11.09.2015
A10000,Catering,15,15,9,NA,1.67,0.6,14.09.csv,2015,14.09.2015
A10001,Favorite,1371,1371,190,NA,7.22,54.71,14.09.csv,2015,14.09.2015
A10002,Green,370,370,52,NA,7.12,14.77,14.09.csv,2015,14.09.2015
A100039,Portion Pommes,5.5,5.5,1,NA,5.5,0.22,14.09.csv,2015,14.09.2015
A10006,Menu Salat,100.5,100.5,67,NA,1.5,4.01,14.09.csv,2015,14.09.2015
A10013,Kitchen 3,161,161,14,NA,11.5,6.43,14.09.csv,2015,14.09.2015
A10020,Local 0,358,358,50,NA,7.16,14.29,14.09.csv,2015,14.09.2015
