Artikel,name,Bruttobetrag,Nettobetrag,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,Ref %,Tot %Umsatz,source,year
A10000,Küche,11,11,2,NA,5.5,0,0,11,100,0.53,01.12.csv,2016
A10001,Favorite,918,918,113,NA,8.12,0,0,918,100,44.48,01.12.csv,2016
A10002,Green,630,630,83,NA,7.59,0,0,630,100,30.52,01.12.csv,2016
A10005,Menu Suppe,3,3,2,NA,1.5,0,0,3,100,0.15,01.12.csv,2016
A10006,Menu Salat,27,27,18,NA,1.5,0,0,27,100,1.31,01.12.csv,2016
A10007,Senf Mayo Ketschup,0.5,0.5,1,NA,0.5,0,0,0.5,100,0.02,01.12.csv,2016
A10014,Kitchen 4,131,131,10,NA,13.1,0,0,131,100,6.35,01.12.csv,2016
A10040,Garden,283.2,283.2,32,12.26,23.1,0,0,283.2,100,13.72,01.12.csv,2016
A10063,Frucht 1.00,3,3,3,NA,1,0,0,3,100,0.15,01.12.csv,2016
A10072,Schichtjoghurt,7,7,2,NA,3.5,0,0,7,100,0.34,01.12.csv,2016
A10101,Ragusa-Gipfel ,2.9,2.9,1,NA,2.9,0,0,2.9,100,0.14,01.12.csv,2016
A10108,Laugenbrezel mit Butter,4.6,4.6,2,NA,2.3,0,0,4.6,100,0.22,01.12.csv,2016
A10121,Mandelschnecke ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.12,01.12.csv,2016
A10130,Vanillekreuz,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.12,01.12.csv,2016
A10148,Fruchttörtli,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.12,01.12.csv,2016
A10410,Sandwich Milano,4,4,1,NA,4,0,0,4,100,0.19,01.12.csv,2016
A10411,Sandwich Power Ham,4,4,1,NA,4,0,0,4,100,0.19,01.12.csv,2016
A10413,Sandwich Start Your Day,4.5,4.5,1,NA,4.5,0,0,4.5,100,0.22,01.12.csv,2016
A10415,Sandwich Turkey,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.27,01.12.csv,2016
A10417,Sandwich Softie,8,8,2,NA,4,0,0,8,100,0.39,01.12.csv,2016
A10430,Bagel Sandwich Fisherman's Catch,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.27,01.12.csv,2016
A10450,Sandwich Laugenkaiser,4,4,1,NA,4,0,0,4,100,0.19,01.12.csv,2016
Total Gruppe,NA,2063.9,2063.9,280,12.26,7.37,0,0,2063.9,NA,100,01.12.csv,2016
