Artikel,name,Bruttobetrag,Nettobetrag,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,Ref %,Tot %Umsatz,source,year
A10000,Küche,16.3,16.3,3,NA,5.43,0,0,16.3,100,0.73,02.11.csv,2015
A10001,Favorite,552,552,73,NA,7.56,0,0,552,100,24.85,02.11.csv,2015
A10002,Green,624,624,83,NA,7.52,0,0,624,100,28.09,02.11.csv,2015
A10004,Brot Stück,0.3,0.3,1,NA,0.3,0,0,0.3,100,0.01,02.11.csv,2015
A10005,Menu Suppe,7.5,7.5,5,NA,1.5,0,0,7.5,100,0.34,02.11.csv,2015
A10006,Menu Salat,108.5,108.5,69,NA,1.57,0,0,108.5,100,4.88,02.11.csv,2015
A10011,Kitchen 1,254,254,26,NA,9.77,0,0,254,100,11.43,02.11.csv,2015
A10013,Kitchen 3,100,100,8,NA,12.5,0,0,100,100,4.5,02.11.csv,2015
A10020,Local 0,418,418,56,NA,7.46,0,0,418,100,18.82,02.11.csv,2015
A10030,Market,39.8,39.8,5,1.692,23.52,0,0,39.8,100,1.79,02.11.csv,2015
A10040,Garden,40,40,6,1.74,22.99,0,0,40,100,1.8,02.11.csv,2015
A10063,Frucht 1.00,1,1,1,NA,1,0,0,1,100,0.05,02.11.csv,2015
A10070,Yogurt 150g,2.1,2.1,1,NA,2.1,0,0,2.1,100,0.09,02.11.csv,2015
A10072,Schichtjoghurt,3,3,1,NA,3,0,0,3,100,0.14,02.11.csv,2015
A10073,Saisonfrüchte geschnitten,7,7,2,NA,3.5,0,0,7,100,0.32,02.11.csv,2015
A10101,Ragusa-Gipfel ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.11,02.11.csv,2015
A10103,Vanille-Gipfel,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.11,02.11.csv,2015
A10119,Studentenschnitte ,2.9,2.9,1,NA,2.9,0,0,2.9,100,0.13,02.11.csv,2015
A10135,Wähe,7.8,7.8,2,NA,3.9,0,0,7.8,100,0.35,02.11.csv,2015
A10411,Sandwich Power Ham,4,4,1,NA,4,0,0,4,100,0.18,02.11.csv,2015
A10413,Sandwich Start Your Day,5,5,1,NA,5,0,0,5,100,0.23,02.11.csv,2015
A10416,Sandwich Ticinese,6,6,1,NA,6,0,0,6,100,0.27,02.11.csv,2015
A10425,Sandwich Italien,12.5,12.5,2,NA,6.25,0,0,12.5,100,0.56,02.11.csv,2015
A10451,Sandwich Bauette,5,5,1,NA,5,0,0,5,100,0.23,02.11.csv,2015
Total Gruppe,NA,2221.5,2221.5,351,3.432,6.33,0,0,2221.5,NA,100,02.11.csv,2015
A10000,Küche,10.3,10.3,1,NA,10.3,0,0,10.3,100,0.42,03.11.csv,2015
A10001,Favorite,716,716,93,NA,7.7,0,0,716,100,29.14,03.11.csv,2015
A10002,Green,775,775,103,NA,7.52,0,0,775,100,31.54,03.11.csv,2015
A10005,Menu Suppe,19.5,19.5,13,NA,1.5,0,0,19.5,100,0.79,03.11.csv,2015
A10006,Menu Salat,83,83,54,NA,1.54,0,0,83,100,3.38,03.11.csv,2015
A10007,Senf Mayo Ketschup,1,1,2,NA,0.5,0,0,1,100,0.04,03.11.csv,2015
A10011,Kitchen 1,310,310,32,NA,9.69,0,0,310,100,12.62,03.11.csv,2015
A10020,Local 0,295,295,39,NA,7.56,0,0,295,100,12.01,03.11.csv,2015
A10030,Market,100.3,100.3,14,4.358,23.02,0,0,100.3,100,4.08,03.11.csv,2015
A10040,Garden,57.9,57.9,7,2.514,23.03,0,0,57.9,100,2.36,03.11.csv,2015
A10061,Frucht -.80,0.8,0.8,1,NA,0.8,0,0,0.8,100,0.03,03.11.csv,2015
A10063,Frucht 1.00,2,2,2,NA,1,0,0,2,100,0.08,03.11.csv,2015
A10073,Saisonfrüchte geschnitten,3.5,3.5,1,NA,3.5,0,0,3.5,100,0.14,03.11.csv,2015
A10135,Wähe,11.7,11.7,3,NA,3.9,0,0,11.7,100,0.48,03.11.csv,2015
A10144,Trockengebäck 100g verpackt,11.5,11.5,5,NA,2.3,0,0,11.5,100,0.47,03.11.csv,2015
A10200,Birchermüesli Classic,3.2,3.2,1,NA,3.2,0,0,3.2,100,0.13,03.11.csv,2015
A10410,Sandwich Milano,12,12,3,NA,4,0,0,12,100,0.49,03.11.csv,2015
A10415,Sandwich Turkey,6,6,1,NA,6,0,0,6,100,0.24,03.11.csv,2015
A10416,Sandwich Ticinese,6,6,1,NA,6,0,0,6,100,0.24,03.11.csv,2015
A10430,Bagel Sandwich Fisherman's Catch,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.22,03.11.csv,2015
A10438,FB Sandwich Ham & Co,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.22,03.11.csv,2015
A10441,FB Sandwich Ham & Cheese,11,11,2,NA,5.5,0,0,11,100,0.45,03.11.csv,2015
A10442,FB Sandwich Neptun,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.22,03.11.csv,2015
A10451,Sandwich Bauette,5,5,1,NA,5,0,0,5,100,0.2,03.11.csv,2015
Total Gruppe,NA,2457.2,2457.2,382,6.872,6.43,0,0,2457.2,NA,100,03.11.csv,2015
A10000,Küche,22.6,22.6,2,NA,11.3,0,0,22.6,100,0.94,04.11.csv,2015
A10001,Favorite,897,897,117,NA,7.67,0,0,897,100,37.26,04.11.csv,2015
A10002,Green,520,520,67,NA,7.76,0,0,520,100,21.6,04.11.csv,2015
A10005,Menu Suppe,1.5,1.5,1,NA,1.5,0,0,1.5,100,0.06,04.11.csv,2015
A10006,Menu Salat,48,48,32,NA,1.5,0,0,48,100,1.99,04.11.csv,2015
A10007,Senf Mayo Ketschup,2,2,4,NA,0.5,0,0,2,100,0.08,04.11.csv,2015
A10011,Kitchen 1,119,119,12,NA,9.92,0,0,119,100,4.94,04.11.csv,2015
A10013,Kitchen 3,282,282,24,NA,11.75,0,0,282,100,11.71,04.11.csv,2015
A10020,Local 0,316,316,42,NA,7.52,0,0,316,100,13.12,04.11.csv,2015
