Artikel,name,Bruttobetrag,Nettobetrag,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,Ref %,Tot %Umsatz,source,year
A10000,Küche,8,8,1,NA,8,0,0,8,100,0.43,03.10.csv,2016
A10001,Favorite,1125,1125,145,NA,7.76,0,0,1125,100,60.39,03.10.csv,2016
A10002,Green,203,203,27,NA,7.52,0,0,203,100,10.9,03.10.csv,2016
A10005,Menu Suppe,10.5,10.5,7,NA,1.5,0,0,10.5,100,0.56,03.10.csv,2016
A10006,Menu Salat,16.5,16.5,11,NA,1.5,0,0,16.5,100,0.89,03.10.csv,2016
A10014,Kitchen 4,115,115,9,NA,12.78,0,0,115,100,6.17,03.10.csv,2016
A10040,Garden,324.9,324.9,42,14.132,22.99,0,0,324.9,100,17.44,03.10.csv,2016
A10061,Frucht -.80,0.8,0.8,1,NA,0.8,0,0,0.8,100,0.04,03.10.csv,2016
A10072,Schichtjoghurt,6.5,6.5,2,NA,3.25,0,0,6.5,100,0.35,03.10.csv,2016
A10073,Saisonfrüchte geschnitten,3.5,3.5,1,NA,3.5,0,0,3.5,100,0.19,03.10.csv,2016
A10108,Laugenbrezel mit Butter,4.6,4.6,2,NA,2.3,0,0,4.6,100,0.25,03.10.csv,2016
A10126,Apfel im Schlafrock,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.13,03.10.csv,2016
A10128,Aprikosenjalousie,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.26,03.10.csv,2016
A10135,Wähe,9,9,2,NA,4.5,0,0,9,100,0.48,03.10.csv,2016
A10139,Zitronencake-Schnitte 100g verpackt,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.26,03.10.csv,2016
A10410,Sandwich Milano,8,8,2,NA,4,0,0,8,100,0.43,03.10.csv,2016
A10411,Sandwich Power Ham,4,4,1,NA,4,0,0,4,100,0.21,03.10.csv,2016
A10415,Sandwich Turkey,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.3,03.10.csv,2016
A10416,Sandwich Ticinese,6,6,1,NA,6,0,0,6,100,0.32,03.10.csv,2016
Total Gruppe,NA,1862.8,1862.8,260,14.132,7.16,0,0,1862.8,NA,100,03.10.csv,2016
A10001,Favorite,1189,1189,158,NA,7.53,0,0,1189,100,46.84,04.10.csv,2016
A10002,Green,583,583,77,NA,7.57,0,0,583,100,22.97,04.10.csv,2016
A10004,Brot Stück,0.6,0.6,2,NA,0.3,0,0,0.6,100,0.02,04.10.csv,2016
A10005,Menu Suppe,4.5,4.5,3,NA,1.5,0,0,4.5,100,0.18,04.10.csv,2016
A10006,Menu Salat,25,25,16,NA,1.56,0,0,25,100,0.98,04.10.csv,2016
A10007,Senf Mayo Ketschup,0.5,0.5,1,NA,0.5,0,0,0.5,100,0.02,04.10.csv,2016
A10014,Kitchen 4,252,252,20,NA,12.6,0,0,252,100,9.93,04.10.csv,2016
A10040,Garden,400.2,400.2,57,17.376,23.03,0,0,400.2,100,15.77,04.10.csv,2016
A10063,Frucht 1.00,2,2,2,NA,1,0,0,2,100,0.08,04.10.csv,2016
A10073,Saisonfrüchte geschnitten,7,7,2,NA,3.5,0,0,7,100,0.28,04.10.csv,2016
A10100,Gipfel,1.3,1.3,1,NA,1.3,0,0,1.3,100,0.05,04.10.csv,2016
A10101,Ragusa-Gipfel ,7.7,7.7,3,NA,2.57,0,0,7.7,100,0.3,04.10.csv,2016
A10108,Laugenbrezel mit Butter,4.4,4.4,2,NA,2.2,0,0,4.4,100,0.17,04.10.csv,2016
A10112,Maisbrötli,1.7,1.7,1,NA,1.7,0,0,1.7,100,0.07,04.10.csv,2016
A10128,Aprikosenjalousie,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.09,04.10.csv,2016
A10130,Vanillekreuz,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.09,04.10.csv,2016
A10200,Birchermüesli Classic,19.2,19.2,6,NA,3.2,0,0,19.2,100,0.76,04.10.csv,2016
A10410,Sandwich Milano,8,8,2,NA,4,0,0,8,100,0.32,04.10.csv,2016
A10413,Sandwich Start Your Day,9,9,2,NA,4.5,0,0,9,100,0.35,04.10.csv,2016
A10415,Sandwich Turkey,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.22,04.10.csv,2016
A10416,Sandwich Ticinese,6,6,1,NA,6,0,0,6,100,0.24,04.10.csv,2016
A10417,Sandwich Softie,4.5,4.5,1,NA,4.5,0,0,4.5,100,0.18,04.10.csv,2016
L19100,Patisserie offen,2.4,2.4,2,NA,1.2,0,0,2.4,100,0.09,04.10.csv,2016
Total Gruppe,NA,2538.3,2538.3,362,17.376,7.01,0,0,2538.3,NA,100,04.10.csv,2016
A10000,Küche,8,8,2,NA,4,0,0,8,100,0.4,05.10.csv,2016
A10001,Favorite,585,585,76,NA,7.7,0,0,585,100,29.23,05.10.csv,2016
A10002,Green,759,759,97,NA,7.82,0,0,759,100,37.92,05.10.csv,2016
A10004,Brot Stück,0.3,0.3,1,NA,0.3,0,0,0.3,100,0.01,05.10.csv,2016
A10005,Menu Suppe,6,6,4,NA,1.5,0,0,6,100,0.3,05.10.csv,2016
A10006,Menu Salat,18,18,12,NA,1.5,0,0,18,100,0.9,05.10.csv,2016
A10014,Kitchen 4,346,346,27,NA,12.81,0,0,346,100,17.29,05.10.csv,2016
A10040,Garden,228.4,228.4,32,9.912,23.04,0,0,228.4,100,11.41,05.10.csv,2016
A10063,Frucht 1.00,1,1,1,NA,1,0,0,1,100,0.05,05.10.csv,2016
A10108,Laugenbrezel mit Butter,2.2,2.2,1,NA,2.2,0,0,2.2,100,0.11,05.10.csv,2016
A10123,Russenzöpfli,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.12,05.10.csv,2016
A10135,Wähe,4.5,4.5,1,NA,4.5,0,0,4.5,100,0.22,05.10.csv,2016
A10139,Zitronencake-Schnitte 100g verpackt,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.24,05.10.csv,2016
A10144,Trockengebäck 100g verpackt,4.4,4.4,2,NA,2.2,0,0,4.4,100,0.22,05.10.csv,2016
A10410,Sandwich Milano,8.5,8.5,2,NA,4.25,0,0,8.5,100,0.42,05.10.csv,2016
A10416,Sandwich Ticinese,6,6,1,NA,6,0,0,6,100,0.3,05.10.csv,2016
A10417,Sandwich Softie,8,8,2,NA,4,0,0,8,100,0.4,05.10.csv,2016
A10450,Sandwich Laugenkaiser,4,4,1,NA,4,0,0,4,100,0.2,05.10.csv,2016
A10451,Sandwich Bauette,5,5,1,NA,5,0,0,5,100,0.25,05.10.csv,2016
Total Gruppe,NA,2001.5,2001.5,266,9.912,7.52,0,0,2001.5,NA,100,05.10.csv,2016
A10000,Küche,347.1,347.1,4,NA,86.78,0,0,347.1,100,16.05,06.10.csv,2016
A10001,Favorite,1003,1003,129,NA,7.78,0,0,1003,100,46.38,06.10.csv,2016
A10002,Green,343,343,44,NA,7.8,0,0,343,100,15.86,06.10.csv,2016
A10005,Menu Suppe,6,6,4,NA,1.5,0,0,6,100,0.28,06.10.csv,2016
A10006,Menu Salat,22.5,22.5,15,NA,1.5,0,0,22.5,100,1.04,06.10.csv,2016
A10014,Kitchen 4,192,192,15,NA,12.8,0,0,192,100,8.88,06.10.csv,2016
A10040,Garden,220.8,220.8,30,9.578,23.05,0,0,220.8,100,10.21,06.10.csv,2016
A10063,Frucht 1.00,1,1,1,NA,1,0,0,1,100,0.05,06.10.csv,2016
A10073,Saisonfrüchte geschnitten,3.5,3.5,1,NA,3.5,0,0,3.5,100,0.16,06.10.csv,2016
A10101,Ragusa-Gipfel ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.11,06.10.csv,2016
A10108,Laugenbrezel mit Butter,4.4,4.4,2,NA,2.2,0,0,4.4,100,0.2,06.10.csv,2016
A10112,Maisbrötli,1.7,1.7,1,NA,1.7,0,0,1.7,100,0.08,06.10.csv,2016
A10120,Mandelbrezel ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.11,06.10.csv,2016
A10127,Aprikosenplunder,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.11,06.10.csv,2016
