Artikel,name,Bruttobetrag,Nettobetrag,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,Ref %,Tot %Umsatz,source,year
A10000,Küche,45.3,45.3,7,NA,6.47,0,0,45.3,100,2.53,01.09.csv,2015
A10001,Favorite,878,878,108,NA,8.13,0,0,878,100,49.01,01.09.csv,2015
A10002,Green,312,312,39,NA,8,0,0,312,100,17.42,01.09.csv,2015
A10006,Menu Salat,74,74,46,NA,1.61,0,0,74,100,4.13,01.09.csv,2015
A10013,Kitchen 3,145,145,12,NA,12.08,0,0,145,100,8.09,01.09.csv,2015
A10020,Local 0,157,157,20,NA,7.85,0,0,157,100,8.76,01.09.csv,2015
A10040,Garden,149.5,149.5,19,6.456,23.16,0,0,149.5,100,8.34,01.09.csv,2015
A10071,Quark,1.7,1.7,1,NA,1.7,0,0,1.7,100,0.09,01.09.csv,2015
A10101,Ragusa-Gipfel ,2.9,2.9,1,NA,2.9,0,0,2.9,100,0.16,01.09.csv,2015
A10124,Kirschenstange,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.13,01.09.csv,2015
A10136,Muffin,3,3,1,NA,3,0,0,3,100,0.17,01.09.csv,2015
A10200,Birchermüesli Classic,3.2,3.2,1,NA,3.2,0,0,3.2,100,0.18,01.09.csv,2015
A10400,Sandwich klein,8,8,2,NA,4,0,0,8,100,0.45,01.09.csv,2015
A10405,Sandwich,9.5,9.5,2,NA,4.75,0,0,9.5,100,0.53,01.09.csv,2015
Total Gruppe,NA,1791.5,1791.5,260,6.456,6.89,0,0,1791.5,NA,100,01.09.csv,2015
A10000,Küche,33.7,33.7,3,NA,11.23,0,0,33.7,100,1.81,02.09.csv,2015
A10001,Favorite,801,801,97,NA,8.26,0,0,801,100,43.11,02.09.csv,2015
A10002,Green,486,486,57,NA,8.53,0,0,486,100,26.15,02.09.csv,2015
A10006,Menu Salat,14.5,14.5,9,NA,1.61,0,0,14.5,100,0.78,02.09.csv,2015
A10007,Senf Mayo Ketschup,0.5,0.5,1,NA,0.5,0,0,0.5,100,0.03,02.09.csv,2015
A10020,Local 0,388,388,48,NA,8.08,0,0,388,100,20.88,02.09.csv,2015
A10030,Market,11,11,1,0.44,25,0,0,11,100,0.59,02.09.csv,2015
A10040,Garden,79.1,79.1,10,3.44,22.99,0,0,79.1,100,4.26,02.09.csv,2015
A10071,Quark,1.7,1.7,1,NA,1.7,0,0,1.7,100,0.09,02.09.csv,2015
A10072,Schichtjoghurt,3,3,1,NA,3,0,0,3,100,0.16,02.09.csv,2015
A10104,Schoggi-Gipfel ,2.9,2.9,1,NA,2.9,0,0,2.9,100,0.16,02.09.csv,2015
A10110,Sonnenblumenbrötli,1.9,1.9,1,NA,1.9,0,0,1.9,100,0.1,02.09.csv,2015
A10148,Fruchttörtli,8.7,8.7,3,NA,2.9,0,0,8.7,100,0.47,02.09.csv,2015
A10200,Birchermüesli Classic,3.7,3.7,1,NA,3.7,0,0,3.7,100,0.2,02.09.csv,2015
A10400,Sandwich klein,4,4,1,NA,4,0,0,4,100,0.22,02.09.csv,2015
A10401,Sandwich Mittel,5,5,1,NA,5,0,0,5,100,0.27,02.09.csv,2015
A10405,Sandwich,13.5,13.5,3,NA,4.5,0,0,13.5,100,0.73,02.09.csv,2015
Total Gruppe,NA,1858.2,1858.2,239,3.88,7.77,0,0,1858.2,NA,100,02.09.csv,2015
A10000,Küche,22,22,5,NA,4.4,0,0,22,100,1.48,03.09.csv,2015
A10001,Favorite,639,639,77,NA,8.3,0,0,639,100,43.05,03.09.csv,2015
A10002,Green,277,277,35,NA,7.91,0,0,277,100,18.66,03.09.csv,2015
A10006,Menu Salat,51.5,51.5,33,NA,1.56,0,0,51.5,100,3.47,03.09.csv,2015
A10007,Senf Mayo Ketschup,0.5,0.5,1,NA,0.5,0,0,0.5,100,0.03,03.09.csv,2015
A10011,Kitchen 1,274,274,27,NA,10.15,0,0,274,100,18.46,03.09.csv,2015
A10020,Local 0,80,80,10,NA,8,0,0,80,100,5.39,03.09.csv,2015
A10030,Market,7,7,1,0.306,22.88,0,0,7,100,0.47,03.09.csv,2015
A10040,Garden,92.6,92.6,12,4.024,23.01,0,0,92.6,100,6.24,03.09.csv,2015
A10063,Frucht 1.00,2,2,2,NA,1,0,0,2,100,0.13,03.09.csv,2015
A10071,Quark,1.7,1.7,1,NA,1.7,0,0,1.7,100,0.11,03.09.csv,2015
A10101,Ragusa-Gipfel ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.16,03.09.csv,2015
A10136,Muffin,6,6,2,NA,3,0,0,6,100,0.4,03.09.csv,2015
A10148,Fruchttörtli,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.32,03.09.csv,2015
A10200,Birchermüesli Classic,6.4,6.4,2,NA,3.2,0,0,6.4,100,0.43,03.09.csv,2015
A10400,Sandwich klein,4,4,1,NA,4,0,0,4,100,0.27,03.09.csv,2015
A10405,Sandwich,13.5,13.5,3,NA,4.5,0,0,13.5,100,0.91,03.09.csv,2015
Total Gruppe,NA,1484.4,1484.4,215,4.33,6.9,0,0,1484.4,NA,100,03.09.csv,2015
