Artikel,name,Bruttobetrag,Nettobetrag,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,Ref %,Tot %Umsatz,source,year
A10000,Küche,11.5,11.5,1,NA,11.5,0,0,11.5,100,0.67,01.12.csv,2015
A10001,Favorite,662,662,92,NA,7.2,0,0,662,100,38.7,01.12.csv,2015
A10002,Green,306,306,41,NA,7.46,0,0,306,100,17.89,01.12.csv,2015
A10004,Brot Stück,1.5,1.5,5,NA,0.3,0,0,1.5,100,0.09,01.12.csv,2015
A10005,Menu Suppe,15,15,10,NA,1.5,0,0,15,100,0.88,01.12.csv,2015
A10006,Menu Salat,4.5,4.5,3,NA,1.5,0,0,4.5,100,0.26,01.12.csv,2015
A10007,Senf Mayo Ketschup,0.5,0.5,1,NA,0.5,0,0,0.5,100,0.03,01.12.csv,2015
A10011,Kitchen 1,241,241,25,NA,9.64,0,0,241,100,14.09,01.12.csv,2015
A10020,Local 0,338,338,45,NA,7.51,0,0,338,100,19.76,01.12.csv,2015
A10040,Garden,62.6,62.6,10,2.628,23.82,0,0,62.6,100,3.66,01.12.csv,2015
A10101,Ragusa-Gipfel ,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.28,01.12.csv,2015
A10104,Schoggi-Gipfel ,7.2,7.2,3,NA,2.4,0,0,7.2,100,0.42,01.12.csv,2015
A10130,Vanillekreuz,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.28,01.12.csv,2015
A10131,Vanille/Apfelstange,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.28,01.12.csv,2015
A10161,Muffin gross,6,6,2,NA,3,0,0,6,100,0.35,01.12.csv,2015
A10200,Birchermüesli Classic,12.8,12.8,4,NA,3.2,0,0,12.8,100,0.75,01.12.csv,2015
A10410,Sandwich Milano,4,4,1,NA,4,0,0,4,100,0.23,01.12.csv,2015
A10412,Sandwich Gruyere,4,4,1,NA,4,0,0,4,100,0.23,01.12.csv,2015
A10415,Sandwich Turkey,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.32,01.12.csv,2015
A10418,Sandwich Gruyere Semmel,4,4,1,NA,4,0,0,4,100,0.23,01.12.csv,2015
A10451,Sandwich Bauette,10,10,2,NA,5,0,0,10,100,0.58,01.12.csv,2015
Total Gruppe,NA,1710.5,1710.5,254,2.628,6.73,0,0,1710.5,NA,100,01.12.csv,2015
A10000,Küche,2.3,2.3,1,NA,2.3,0,0,2.3,100,0.14,02.12.csv,2015
A10001,Favorite,765,765,105,NA,7.29,0,0,765,100,47.83,02.12.csv,2015
A10002,Green,105,105,14,NA,7.5,0,0,105,100,6.56,02.12.csv,2015
A100039,Portion Pommes,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.34,02.12.csv,2015
A10005,Menu Suppe,6,6,4,NA,1.5,0,0,6,100,0.38,02.12.csv,2015
A10006,Menu Salat,52.5,52.5,35,NA,1.5,0,0,52.5,100,3.28,02.12.csv,2015
A10011,Kitchen 1,187,187,20,NA,9.35,0,0,187,100,11.69,02.12.csv,2015
A10014,Kitchen 4,182,182,15,NA,12.13,0,0,182,100,11.38,02.12.csv,2015
A10020,Local 0,212,212,28,NA,7.57,0,0,212,100,13.25,02.12.csv,2015
A10040,Garden,30.6,30.6,6,1.334,22.94,0,0,30.6,100,1.91,02.12.csv,2015
A10063,Frucht 1.00,1,1,1,NA,1,0,0,1,100,0.06,02.12.csv,2015
A10108,Laugenbrezel mit Butter,2.2,2.2,1,NA,2.2,0,0,2.2,100,0.14,02.12.csv,2015
A10123,Russenzöpfli,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.15,02.12.csv,2015
A10131,Vanille/Apfelstange,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.15,02.12.csv,2015
A10135,Wähe,3.9,3.9,1,NA,3.9,0,0,3.9,100,0.24,02.12.csv,2015
A10161,Muffin gross,6,6,2,NA,3,0,0,6,100,0.38,02.12.csv,2015
A10200,Birchermüesli Classic,9.6,9.6,3,NA,3.2,0,0,9.6,100,0.6,02.12.csv,2015
A10403,Bagel 1,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.34,02.12.csv,2015
A10409,Sandwich Appenzell,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.34,02.12.csv,2015
A10413,Sandwich Start Your Day,9,9,2,NA,4.5,0,0,9,100,0.56,02.12.csv,2015
A10418,Sandwich Gruyere Semmel,4,4,1,NA,4,0,0,4,100,0.25,02.12.csv,2015
Total Gruppe,NA,1599.4,1599.4,244,1.334,6.55,0,0,1599.4,NA,100,02.12.csv,2015
A10001,Favorite,452,452,63,NA,7.17,0,0,452,100,30.15,03.12.csv,2015
A10002,Green,341,341,45,NA,7.58,0,0,341,100,22.75,03.12.csv,2015
A10005,Menu Suppe,4.5,4.5,3,NA,1.5,0,0,4.5,100,0.3,03.12.csv,2015
A10006,Menu Salat,31.5,31.5,21,NA,1.5,0,0,31.5,100,2.1,03.12.csv,2015
A10007,Senf Mayo Ketschup,0.5,0.5,1,NA,0.5,0,0,0.5,100,0.03,03.12.csv,2015
A10012,Kitchen 2,132,132,13,NA,10.15,0,0,132,100,8.81,03.12.csv,2015
A10020,Local 0,455,455,62,NA,7.34,0,0,455,100,30.35,03.12.csv,2015
A10040,Garden,48.3,48.3,8,2.104,22.96,0,0,48.3,100,3.22,03.12.csv,2015
A10101,Ragusa-Gipfel ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.16,03.12.csv,2015
A10104,Schoggi-Gipfel ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.16,03.12.csv,2015
A10105,Schinkengipfel ,2.5,2.5,1,NA,2.5,0,0,2.5,100,0.17,03.12.csv,2015
A10114,Fitnessbrötli ,1.7,1.7,1,NA,1.7,0,0,1.7,100,0.11,03.12.csv,2015
A10152,Wienerli im Teig,2.5,2.5,1,NA,2.5,0,0,2.5,100,0.17,03.12.csv,2015
A10200,Birchermüesli Classic,3.7,3.7,1,NA,3.7,0,0,3.7,100,0.25,03.12.csv,2015
A10413,Sandwich Start Your Day,13.5,13.5,3,NA,4.5,0,0,13.5,100,0.9,03.12.csv,2015
A10451,Sandwich Bauette,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.37,03.12.csv,2015
Total Gruppe,NA,1499,1499,226,2.104,6.63,0,0,1499,NA,100,03.12.csv,2015
A10001,Favorite,502,502,67,NA,7.49,0,0,502,100,37.02,04.12.csv,2015
A10002,Green,216,216,29,NA,7.45,0,0,216,100,15.93,04.12.csv,2015
A10005,Menu Suppe,3,3,2,NA,1.5,0,0,3,100,0.22,04.12.csv,2015
A10006,Menu Salat,46.5,46.5,31,NA,1.5,0,0,46.5,100,3.43,04.12.csv,2015
A10007,Senf Mayo Ketschup,0.5,0.5,1,NA,0.5,0,0,0.5,100,0.04,04.12.csv,2015
A10014,Kitchen 4,125,125,10,NA,12.5,0,0,125,100,9.22,04.12.csv,2015
A10020,Local 0,424,424,59,NA,7.19,0,0,424,100,31.27,04.12.csv,2015
A10040,Garden,5,5,2,0.218,22.94,0,0,5,100,0.37,04.12.csv,2015
A10072,Schichtjoghurt,3,3,1,NA,3,0,0,3,100,0.22,04.12.csv,2015
