Artikel,name,Bruttobetrag,Nettobetrag,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,Ref %,Tot %Umsatz,source,year
A10000,Küche,3,3,1,NA,3,0,0,3,100,0.13,02.11.csv,2015
A10001,Favorite,848,848,112,NA,7.57,0,0,848,100,37.19,02.11.csv,2015
A10002,Green,417,417,56,NA,7.45,0,0,417,100,18.29,02.11.csv,2015
A10005,Menu Suppe,25.5,25.5,17,NA,1.5,0,0,25.5,100,1.12,02.11.csv,2015
A10006,Menu Salat,103,103,64,NA,1.61,0,0,103,100,4.52,02.11.csv,2015
A10007,Senf Mayo Ketschup,0.5,0.5,1,NA,0.5,0,0,0.5,100,0.02,02.11.csv,2015
A10011,Kitchen 1,211,211,22,NA,9.59,0,0,211,100,9.25,02.11.csv,2015
A10020,Local 0,486,486,65,NA,7.48,0,0,486,100,21.31,02.11.csv,2015
A10040,Garden,89.7,89.7,17,3.804,23.58,0,0,89.7,100,3.93,02.11.csv,2015
A10061,Frucht -.80,0.8,0.8,1,NA,0.8,0,0,0.8,100,0.04,02.11.csv,2015
A10063,Frucht 1.00,2,2,2,NA,1,0,0,2,100,0.09,02.11.csv,2015
A10073,Saisonfrüchte geschnitten,3.5,3.5,1,NA,3.5,0,0,3.5,100,0.15,02.11.csv,2015
A10102,Mandelgipfel ,7.2,7.2,3,NA,2.4,0,0,7.2,100,0.32,02.11.csv,2015
A10103,Vanille-Gipfel,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.11,02.11.csv,2015
A10104,Schoggi-Gipfel ,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.21,02.11.csv,2015
A10114,Fitnessbrötli ,1.7,1.7,1,NA,1.7,0,0,1.7,100,0.07,02.11.csv,2015
A10121,Mandelschnecke ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.11,02.11.csv,2015
A10122,Nussbrille,2.9,2.9,1,NA,2.9,0,0,2.9,100,0.13,02.11.csv,2015
A10136,Muffin,10,10,4,NA,2.5,0,0,10,100,0.44,02.11.csv,2015
A10144,Trockengebäck 100g verpackt,2.2,2.2,1,NA,2.2,0,0,2.2,100,0.1,02.11.csv,2015
A10153,Calzone,3.5,3.5,1,NA,3.5,0,0,3.5,100,0.15,02.11.csv,2015
A10200,Birchermüesli Classic,12.8,12.8,4,NA,3.2,0,0,12.8,100,0.56,02.11.csv,2015
A10413,Sandwich Start Your Day,13.5,13.5,3,NA,4.5,0,0,13.5,100,0.59,02.11.csv,2015
A10414,Sandwich Ham & Cheese,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.24,02.11.csv,2015
A10415,Sandwich Turkey,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.24,02.11.csv,2015
A10416,Sandwich Ticinese,6,6,1,NA,6,0,0,6,100,0.26,02.11.csv,2015
A10451,Sandwich Bauette,10,10,2,NA,5,0,0,10,100,0.44,02.11.csv,2015
Total Gruppe,NA,2280.4,2280.4,386,3.804,5.91,0,0,2280.4,NA,100,02.11.csv,2015
A10001,Favorite,575,575,77,NA,7.47,0,0,575,100,32.09,03.11.csv,2015
A10002,Green,611,611,81,NA,7.54,0,0,611,100,34.1,03.11.csv,2015
A10005,Menu Suppe,10,10,6,NA,1.67,0,0,10,100,0.56,03.11.csv,2015
A10006,Menu Salat,96.5,96.5,63,NA,1.53,0,0,96.5,100,5.39,03.11.csv,2015
A10011,Kitchen 1,96,96,10,NA,9.6,0,0,96,100,5.36,03.11.csv,2015
A10020,Local 0,270,270,37,NA,7.3,0,0,270,100,15.07,03.11.csv,2015
A10040,Garden,65.9,65.9,10,2.864,23.01,0,0,65.9,100,3.68,03.11.csv,2015
A10072,Schichtjoghurt,9,9,3,NA,3,0,0,9,100,0.5,03.11.csv,2015
A10073,Saisonfrüchte geschnitten,3.5,3.5,1,NA,3.5,0,0,3.5,100,0.2,03.11.csv,2015
A10100,Gipfel,1.3,1.3,1,NA,1.3,0,0,1.3,100,0.07,03.11.csv,2015
A10104,Schoggi-Gipfel ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.13,03.11.csv,2015
A10105,Schinkengipfel ,5,5,2,NA,2.5,0,0,5,100,0.28,03.11.csv,2015
A10121,Mandelschnecke ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.13,03.11.csv,2015
A10127,Aprikosenplunder,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.13,03.11.csv,2015
A10136,Muffin,5,5,2,NA,2.5,0,0,5,100,0.28,03.11.csv,2015
A10144,Trockengebäck 100g verpackt,2.2,2.2,1,NA,2.2,0,0,2.2,100,0.12,03.11.csv,2015
A10150,Spinatstrudel,2.5,2.5,1,NA,2.5,0,0,2.5,100,0.14,03.11.csv,2015
A10153,Calzone,7,7,2,NA,3.5,0,0,7,100,0.39,03.11.csv,2015
A10200,Birchermüesli Classic,3.2,3.2,1,NA,3.2,0,0,3.2,100,0.18,03.11.csv,2015
A10400,Sandwich klein,12,12,3,NA,4,0,0,12,100,0.67,03.11.csv,2015
A10401,Sandwich Mittel,5,5,1,NA,5,0,0,5,100,0.28,03.11.csv,2015
A10413,Sandwich Start Your Day,4.5,4.5,1,NA,4.5,0,0,4.5,100,0.25,03.11.csv,2015
Total Gruppe,NA,1791.8,1791.8,306,2.864,5.86,0,0,1791.8,NA,100,03.11.csv,2015
A10001,Favorite,768,768,103,NA,7.46,0,0,768,100,54.87,04.11.csv,2015
A10002,Green,143,143,20,NA,7.15,0,0,143,100,10.22,04.11.csv,2015
A10005,Menu Suppe,7.5,7.5,5,NA,1.5,0,0,7.5,100,0.54,04.11.csv,2015
A10006,Menu Salat,1.5,1.5,1,NA,1.5,0,0,1.5,100,0.11,04.11.csv,2015
A10010,Kitchen 0,14,14,2,NA,7,0,0,14,100,1,04.11.csv,2015
A10013,Kitchen 3,96,96,8,NA,12,0,0,96,100,6.86,04.11.csv,2015
A10020,Local 0,245,245,32,NA,7.66,0,0,245,100,17.5,04.11.csv,2015
A10022,Local 2,11,11,1,NA,11,0,0,11,100,0.79,04.11.csv,2015
A10040,Garden,51.3,51.3,8,2.232,22.98,0,0,51.3,100,3.67,04.11.csv,2015
A10063,Frucht 1.00,2,2,2,NA,1,0,0,2,100,0.14,04.11.csv,2015
A10102,Mandelgipfel ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.17,04.11.csv,2015
A10104,Schoggi-Gipfel ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.17,04.11.csv,2015
A10105,Schinkengipfel ,5,5,2,NA,2.5,0,0,5,100,0.36,04.11.csv,2015
A10108,Laugenbrezel mit Butter,2.2,2.2,1,NA,2.2,0,0,2.2,100,0.16,04.11.csv,2015
A10135,Wähe,3.9,3.9,1,NA,3.9,0,0,3.9,100,0.28,04.11.csv,2015
A10139,Zitronencake-Schnitte 100g verpackt,9.6,9.6,4,NA,2.4,0,0,9.6,100,0.69,04.11.csv,2015
A10144,Trockengebäck 100g verpackt,2.2,2.2,1,NA,2.2,0,0,2.2,100,0.16,04.11.csv,2015
A10200,Birchermüesli Classic,6.4,6.4,2,NA,3.2,0,0,6.4,100,0.46,04.11.csv,2015
A10201,Birchermüesli Saisonal,4.9,4.9,1,NA,4.9,0,0,4.9,100,0.35,04.11.csv,2015
A10401,Sandwich Mittel,5,5,1,NA,5,0,0,5,100,0.36,04.11.csv,2015
A10409,Sandwich Appenzell,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.39,04.11.csv,2015
A10410,Sandwich Milano,4,4,1,NA,4,0,0,4,100,0.29,04.11.csv,2015
A10450,Sandwich Laugenkaiser,4,4,1,NA,4,0,0,4,100,0.29,04.11.csv,2015
L19100,Patisserie offen,2.9,2.9,1,NA,2.9,0,0,2.9,100,0.21,04.11.csv,2015
Total Gruppe,NA,1399.7,1399.7,201,2.232,6.96,0,0,1399.7,NA,100,04.11.csv,2015
A10001,Favorite,606,606,83,NA,7.3,0,0,606,100,36.64,05.11.csv,2015
A10002,Green,272,272,35,NA,7.77,0,0,272,100,16.45,05.11.csv,2015
A10005,Menu Suppe,10.5,10.5,7,NA,1.5,0,0,10.5,100,0.63,05.11.csv,2015
A10006,Menu Salat,56.5,56.5,37,NA,1.53,0,0,56.5,100,3.42,05.11.csv,2015
A10014,Kitchen 4,87,87,7,NA,12.43,0,0,87,100,5.26,05.11.csv,2015
A10020,Local 0,519,519,71,NA,7.31,0,0,519,100,31.38,05.11.csv,2015
A10040,Garden,47.2,47.2,7,1.984,23.79,0,0,47.2,100,2.85,05.11.csv,2015
A10063,Frucht 1.00,5,5,5,NA,1,0,0,5,100,0.3,05.11.csv,2015
A10072,Schichtjoghurt,3,3,1,NA,3,0,0,3,100,0.18,05.11.csv,2015
A10102,Mandelgipfel ,5.3,5.3,2,NA,2.65,0,0,5.3,100,0.32,05.11.csv,2015
A10122,Nussbrille,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.15,05.11.csv,2015
A10136,Muffin,2.5,2.5,1,NA,2.5,0,0,2.5,100,0.15,05.11.csv,2015
A10144,Trockengebäck 100g verpackt,4.4,4.4,2,NA,2.2,0,0,4.4,100,0.27,05.11.csv,2015
