Artikel,name,Bruttobetrag,Nettobetrag,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,Ref %,Tot %Umsatz,source,year
A10000,Küche,20,20,3,NA,6.67,0,0,20,100,1.24,01.10.csv,2015
A10001,Favorite,753,753,102,NA,7.38,0,0,753,100,46.52,01.10.csv,2015
A10002,Green,196,196,27,NA,7.26,0,0,196,100,12.11,01.10.csv,2015
A10004,Brot Stück,0.6,0.6,2,NA,0.3,0,0,0.6,100,0.04,01.10.csv,2015
A10006,Menu Salat,51,51,34,NA,1.5,0,0,51,100,3.15,01.10.csv,2015
A10007,Senf Mayo Ketschup,1.5,1.5,3,NA,0.5,0,0,1.5,100,0.09,01.10.csv,2015
A10013,Kitchen 3,352,352,30,NA,11.73,0,0,352,100,21.75,01.10.csv,2015
A10020,Local 0,142,142,19,NA,7.47,0,0,142,100,8.77,01.10.csv,2015
A10040,Garden,34.1,34.1,6,1.484,22.98,0,0,34.1,100,2.11,01.10.csv,2015
A10102,Mandelgipfel ,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.3,01.10.csv,2015
A10105,Schinkengipfel ,2.5,2.5,1,NA,2.5,0,0,2.5,100,0.15,01.10.csv,2015
A10108,Laugenbrezel mit Butter,2.2,2.2,1,NA,2.2,0,0,2.2,100,0.14,01.10.csv,2015
A10111,Schoggi Fair,4.4,4.4,2,NA,2.2,0,0,4.4,100,0.27,01.10.csv,2015
A10115,Kaisersemmel ,1.6,1.6,1,NA,1.6,0,0,1.6,100,0.1,01.10.csv,2015
A10131,Vanille/Apfelstange,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.15,01.10.csv,2015
A10144,Trockengebäck 100g verpackt,4.4,4.4,2,NA,2.2,0,0,4.4,100,0.27,01.10.csv,2015
A10150,Spinatstrudel,5,5,2,NA,2.5,0,0,5,100,0.31,01.10.csv,2015
A10200,Birchermüesli Classic,3.2,3.2,1,NA,3.2,0,0,3.2,100,0.2,01.10.csv,2015
A10400,Sandwich klein,4,4,1,NA,4,0,0,4,100,0.25,01.10.csv,2015
A10401,Sandwich Mittel,5,5,1,NA,5,0,0,5,100,0.31,01.10.csv,2015
A10402,Sandwich Gross,6,6,1,NA,6,0,0,6,100,0.37,01.10.csv,2015
A10403,Bagel 1,11,11,2,NA,5.5,0,0,11,100,0.68,01.10.csv,2015
A10413,Sandwich Start Your Day,4.5,4.5,1,NA,4.5,0,0,4.5,100,0.28,01.10.csv,2015
L19100,Patisserie offen,7.5,7.5,3,NA,2.5,0,0,7.5,100,0.46,01.10.csv,2015
Total Gruppe,NA,1618.7,1618.7,248,1.484,6.53,0,0,1618.7,NA,100,01.10.csv,2015
A10000,Küche,4,4,1,NA,4,0,0,4,100,0.29,02.10.csv,2015
A10001,Favorite,721,721,99,NA,7.28,0,0,721,100,51.8,02.10.csv,2015
A10002,Green,202,202,27,NA,7.48,0,0,202,100,14.51,02.10.csv,2015
A10006,Menu Salat,25.5,25.5,17,NA,1.5,0,0,25.5,100,1.83,02.10.csv,2015
A10007,Senf Mayo Ketschup,0.5,0.5,1,NA,0.5,0,0,0.5,100,0.04,02.10.csv,2015
A10010,Kitchen 0,8,8,1,NA,8,0,0,8,100,0.57,02.10.csv,2015
A10013,Kitchen 3,136,136,12,NA,11.33,0,0,136,100,9.77,02.10.csv,2015
A10020,Local 0,238,238,32,NA,7.44,0,0,238,100,17.1,02.10.csv,2015
A10040,Garden,8.2,8.2,2,0.356,23.03,0,0,8.2,100,0.59,02.10.csv,2015
A10063,Frucht 1.00,1,1,1,NA,1,0,0,1,100,0.07,02.10.csv,2015
A10102,Mandelgipfel ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.17,02.10.csv,2015
A10103,Vanille-Gipfel,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.17,02.10.csv,2015
A10111,Schoggi Fair,2.2,2.2,1,NA,2.2,0,0,2.2,100,0.16,02.10.csv,2015
A10117,Nuss-Semmel ,1.7,1.7,1,NA,1.7,0,0,1.7,100,0.12,02.10.csv,2015
A10122,Nussbrille,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.17,02.10.csv,2015
A10128,Aprikosenjalousie,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.17,02.10.csv,2015
A10129,Aprikosen-Bögli,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.34,02.10.csv,2015
A10135,Wähe,7.8,7.8,2,NA,3.9,0,0,7.8,100,0.56,02.10.csv,2015
A10136,Muffin,2.5,2.5,1,NA,2.5,0,0,2.5,100,0.18,02.10.csv,2015
A10200,Birchermüesli Classic,3.2,3.2,1,NA,3.2,0,0,3.2,100,0.23,02.10.csv,2015
A10400,Sandwich klein,4,4,1,NA,4,0,0,4,100,0.29,02.10.csv,2015
A10410,Sandwich Milano,4,4,1,NA,4,0,0,4,100,0.29,02.10.csv,2015
A10411,Sandwich Power Ham,4,4,1,NA,4,0,0,4,100,0.29,02.10.csv,2015
A10412,Sandwich Gruyere,4,4,1,NA,4,0,0,4,100,0.29,02.10.csv,2015
Total Gruppe,NA,1392,1392,209,0.356,6.66,0,0,1392,NA,100,02.10.csv,2015
A10001,Favorite,881,881,122,NA,7.22,0,0,881,100,46.32,05.10.csv,2015
A10002,Green,294,294,40,NA,7.35,0,0,294,100,15.46,05.10.csv,2015
A10005,Menu Suppe,1.5,1.5,1,NA,1.5,0,0,1.5,100,0.08,05.10.csv,2015
A10006,Menu Salat,52.5,52.5,35,NA,1.5,0,0,52.5,100,2.76,05.10.csv,2015
A10014,Kitchen 4,286,286,23,NA,12.43,0,0,286,100,15.04,05.10.csv,2015
A10020,Local 0,239,239,33,NA,7.24,0,0,239,100,12.57,05.10.csv,2015
A10040,Garden,59.2,59.2,11,2.568,23.05,0,0,59.2,100,3.11,05.10.csv,2015
A10063,Frucht 1.00,2,2,2,NA,1,0,0,2,100,0.11,05.10.csv,2015
A10101,Ragusa-Gipfel ,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.25,05.10.csv,2015
A10102,Mandelgipfel ,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.25,05.10.csv,2015
A10104,Schoggi-Gipfel ,9.6,9.6,4,NA,2.4,0,0,9.6,100,0.5,05.10.csv,2015
A10105,Schinkengipfel ,2.5,2.5,1,NA,2.5,0,0,2.5,100,0.13,05.10.csv,2015
A10112,Maisbrötli,1.7,1.7,1,NA,1.7,0,0,1.7,100,0.09,05.10.csv,2015
A10114,Fitnessbrötli ,3.4,3.4,2,NA,1.7,0,0,3.4,100,0.18,05.10.csv,2015
A10126,Apfel im Schlafrock,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.13,05.10.csv,2015
A10131,Vanille/Apfelstange,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.13,05.10.csv,2015
A10143,Trockengebäck Lyner verpackt,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.25,05.10.csv,2015
