ID;Kalenderwoche;Artikel;;;;;Bruttobetrag;Nettobetrag;;;Verkaufte StÅcke;Gewicht verkauft;;Durchschnittlicher Preis;;;;Rabattierter Betrag;Durchschnittlicher Rabatt;Referenzbetrag;;;;Ref %;;Tot %Umsatz;Jahr
1;33;A10000;KÅche;;;;103.00;103.00;;;15;;;6.87;;;;0.00;0.00;103.00;;;;100.00;;1.00;2015
2;33;A10001;Favorite;;;;3'110.00;3'110.00;;;404;;;7.70;;;;0.00;0.00;3'110.00;;;;100.00;;30.16;2015
3;33;A10002;Green;;;;2'600.00;2'600.00;;;345;;;7.54;;;;0.00;0.00;2'600.00;;;;100.00;;25.21;2015
4;33;A10004;Brot StÅck;;;;0.30;0.30;;;1;;;0.30;;;;0.00;0.00;0.30;;;;100.00;;0.00;2015
5;33;A10005;Menu Suppe;;;;37.50;37.50;;;25;;;1.50;;;;0.00;0.00;37.50;;;;100.00;;0.36;2015
6;33;A10006;Menu Salat;;;;316.00;316.00;;;206;;;1.53;;;;0.00;0.00;316.00;;;;100.00;;3.06;2015
7;33;A10007;Senf Mayo Ketschup;;;;3.50;3.50;;;7;;;0.50;;;;0.00;0.00;3.50;;;;100.00;;0.03;2015
8;33;A10011;Kitchen 1;;;;683.00;683.00;;;70;;;9.76;;;;0.00;0.00;683.00;;;;100.00;;6.62;2015
9;33;A10013;Kitchen 3;;;;382.00;382.00;;;32;;;11.94;;;;0.00;0.00;382.00;;;;100.00;;3.70;2015
10;33;A10014;Kitchen 4;;;;519.00;519.00;;;41;;;12.66;;;;0.00;0.00;519.00;;;;100.00;;5.03;2015
11;33;A10020;Local 0;;;;1'596.00;1'596.00;;;212;;;7.53;;;;0.00;0.00;1'596.00;;;;100.00;;15.48;2015
12;33;A10030;Market;;;;248.30;248.30;;;35;10.75;;23.10;;;;0.00;0.00;248.30;;;;100.00;;2.41;2015
13;33;A10040;Garden;;;;257.20;257.20;;;34;11.01;;23.36;;;;0.00;0.00;257.20;;;;100.00;;2.49;2015
14;33;A10061;Frucht -.80;;;;2.40;2.40;;;3;;;0.80;;;;0.00;0.00;2.40;;;;100.00;;0.02;2015
15;33;A10063;Frucht 1.00;;;;5.00;5.00;;;5;;;1.00;;;;0.00;0.00;5.00;;;;100.00;;0.05;2015
16;33;A10070;Yogurt 150g;;;;2.10;2.10;;;1;;;2.10;;;;0.00;0.00;2.10;;;;100.00;;0.02;2015
17;33;A100700;Yogi;;;;1.60;1.60;;;1;;;1.60;;;;0.00;0.00;1.60;;;;100.00;;0.02;2015
18;33;A10072;Schichtjoghurt;;;;9.00;9.00;;;3;;;3.00;;;;0.00;0.00;9.00;;;;100.00;;0.09;2015
19;33;A10073;SaisonfrÅchte geschnitten;;;;14.00;14.00;;;4;;;3.50;;;;0.00;0.00;14.00;;;;100.00;;0.14;2015
20;33;A10074;Milchreis;;;;2.30;2.30;;;1;;;2.30;;;;0.00;0.00;2.30;;;;100.00;;0.02;2015
21;33;A10100;Gipfel;;;;1.30;1.30;;;1;;;1.30;;;;0.00;0.00;1.30;;;;100.00;;0.01;2015
22;33;A10101;Ragusa-Gipfel ;;;;19.70;19.70;;;8;;;2.46;;;;0.00;0.00;19.70;;;;100.00;;0.19;2015
23;33;A10103;Vanille-Gipfel;;;;4.80;4.80;;;2;;;2.40;;;;0.00;0.00;4.80;;;;100.00;;0.05;2015
24;33;A10111;Schoggi Fair;;;;2.20;2.20;;;1;;;2.20;;;;0.00;0.00;2.20;;;;100.00;;0.02;2015
25;33;A10114;Fitnessbrîtli ;;;;1.70;1.70;;;1;;;1.70;;;;0.00;0.00;1.70;;;;100.00;;0.02;2015
26;33;A10119;Studentenschnitte ;;;;2.90;2.90;;;1;;;2.90;;;;0.00;0.00;2.90;;;;100.00;;0.03;2015
27;33;A10121;Mandelschnecke ;;;;5.30;5.30;;;2;;;2.65;;;;0.00;0.00;5.30;;;;100.00;;0.05;2015
28;33;A10122;Nussbrille;;;;2.40;2.40;;;1;;;2.40;;;;0.00;0.00;2.40;;;;100.00;;0.02;2015
29;33;A10123;Russenzîpfli;;;;2.40;2.40;;;1;;;2.40;;;;0.00;0.00;2.40;;;;100.00;;0.02;2015
30;33;A10126;Apfel im Schlafrock;;;;2.40;2.40;;;1;;;2.40;;;;0.00;0.00;2.40;;;;100.00;;0.02;2015
31;33;A10127;Aprikosenplunder;;;;2.40;2.40;;;1;;;2.40;;;;0.00;0.00;2.40;;;;100.00;;0.02;2015
32;33;A10128;Aprikosenjalousie;;;;2.40;2.40;;;1;;;2.40;;;;0.00;0.00;2.40;;;;100.00;;0.02;2015
33;33;A10130;Vanillekreuz;;;;2.40;2.40;;;1;;;2.40;;;;0.00;0.00;2.40;;;;100.00;;0.02;2015
34;33;A10131;Vanille/Apfelstange;;;;2.40;2.40;;;1;;;2.40;;;;0.00;0.00;2.40;;;;100.00;;0.02;2015
35;33;A10135;WÑhe;;;;31.20;31.20;;;8;;;3.90;;;;0.00;0.00;31.20;;;;100.00;;0.30;2015
36;33;A10144;TrockengebÑck 100g verpackt;;;;15.90;15.90;;;7;;;2.27;;;;0.00;0.00;15.90;;;;100.00;;0.15;2015
37;33;A10148;Fruchttîrtli;;;;7.20;7.20;;;3;;;2.40;;;;0.00;0.00;7.20;;;;100.00;;0.07;2015
38;33;A10200;BirchermÅesli Classic;;;;26.10;26.10;;;8;;;3.26;;;;0.00;0.00;26.10;;;;100.00;;0.25;2015
39;33;A10410;Sandwich Milano;;;;32.00;32.00;;;8;;;4.00;;;;0.00;0.00;32.00;;;;100.00;;0.31;2015
40;33;A10411;Sandwich Power Ham;;;;12.00;12.00;;;3;;;4.00;;;;0.00;0.00;12.00;;;;100.00;;0.12;2015
41;33;A10413;Sandwich Start Your Day;;;;9.50;9.50;;;2;;;4.75;;;;0.00;0.00;9.50;;;;100.00;;0.09;2015
42;33;A10414;Sandwich Ham & Cheese;;;;33.50;33.50;;;6;;;5.58;;;;0.00;0.00;33.50;;;;100.00;;0.32;2015
43;33;A10415;Sandwich Turkey;;;;44.50;44.50;;;8;;;5.56;;;;0.00;0.00;44.50;;;;100.00;;0.43;2015
44;33;A10416;Sandwich Ticinese;;;;37.50;37.50;;;6;;;6.25;;;;0.00;0.00;37.50;;;;100.00;;0.36;2015
45;33;A10425;Sandwich Italien;;;;12.50;12.50;;;2;;;6.25;;;;0.00;0.00;12.50;;;;100.00;;0.12;2015
46;33;A10430;Bagel Sandwich Fisherman's Catch;;;;17.00;17.00;;;3;;;5.67;;;;0.00;0.00;17.00;;;;100.00;;0.16;2015
47;33;A10438;FB Sandwich Ham & Co;;;;16.50;16.50;;;3;;;5.50;;;;0.00;0.00;16.50;;;;100.00;;0.16;2015
48;33;A10441;FB Sandwich Ham & Cheese;;;;11.00;11.00;;;2;;;5.50;;;;0.00;0.00;11.00;;;;100.00;;0.11;2015
49;33;A10442;FB Sandwich Neptun;;;;16.50;16.50;;;3;;;5.50;;;;0.00;0.00;16.50;;;;100.00;;0.16;2015
50;33;A10450;Sandwich Laugenkaiser;;;;8.00;8.00;;;2;;;4.00;;;;0.00;0.00;8.00;;;;100.00;;0.08;2015
51;33;A10451;Sandwich Bauette;;;;35.50;35.50;;;7;;;5.07;;;;0.00;0.00;35.50;;;;100.00;;0.34;2015
52;34;A10000;KÅche;;;;298.20;298.20;;;49;;;6.09;;;;0.00;0.00;298.20;;;;100.00;;3.94;2015
53;34;A10001;Favorite;;;;3'163.00;3'163.00;;;383;;;8.26;;;;0.00;0.00;3'163.00;;;;100.00;;41.79;2015
54;34;A10002;Green;;;;2'128.00;2'128.00;;;264;;;8.06;;;;0.00;0.00;2'128.00;;;;100.00;;28.12;2015
55;34;A10003;nur Fleisch Favorite;;;;6.00;6.00;;;1;;;6.00;;;;0.00;0.00;6.00;;;;100.00;;0.08;2015
56;34;A10006;Menu Salat;;;;151.50;151.50;;;95;;;1.59;;;;0.00;0.00;151.50;;;;100.00;;2.00;2015
57;34;A10011;Kitchen 1;;;;159.00;159.00;;;16;;;9.94;;;;0.00;0.00;159.00;;;;100.00;;2.10;2015
58;34;A10012;Kitchen 2;;;;48.00;48.00;;;4;;;12.00;;;;0.00;0.00;48.00;;;;100.00;;0.63;2015
59;34;A10013;Kitchen 3;;;;763.00;763.00;;;64;;;11.92;;;;0.00;0.00;763.00;;;;100.00;;10.08;2015
60;34;A10014;Kitchen 4;;;;160.00;160.00;;;12;;;13.33;;;;0.00;0.00;160.00;;;;100.00;;2.11;2015
61;34;A10023;Local 3;;;;71.00;71.00;;;6;;;11.83;;;;0.00;0.00;71.00;;;;100.00;;0.94;2015
62;34;A10024;Local 4;;;;211.00;211.00;;;16;;;13.19;;;;0.00;0.00;211.00;;;;100.00;;2.79;2015
63;34;A10040;Garden;;;;237.10;237.10;;;33;10.22;;23.19;;;;0.00;0.00;237.10;;;;100.00;;3.13;2015
64;34;A10063;Frucht 1.00;;;;8.00;8.00;;;8;;;1.00;;;;0.00;0.00;8.00;;;;100.00;;0.11;2015
65;34;A10064;Frucht 1.20;;;;1.20;1.20;;;1;;;1.20;;;;0.00;0.00;1.20;;;;100.00;;0.02;2015
66;34;A10065;Frucht 1.30;;;;1.30;1.30;;;1;;;1.30;;;;0.00;0.00;1.30;;;;100.00;;0.02;2015
67;34;A10072;Schichtjoghurt;;;;6.00;6.00;;;2;;;3.00;;;;0.00;0.00;6.00;;;;100.00;;0.08;2015
68;34;A10073;SaisonfrÅchte geschnitten;;;;3.50;3.50;;;1;;;3.50;;;;0.00;0.00;3.50;;;;100.00;;0.05;2015
69;34;A10104;Schoggi-Gipfel ;;;;7.70;7.70;;;3;;;2.57;;;;0.00;0.00;7.70;;;;100.00;;0.10;2015
70;34;A10114;Fitnessbrîtli ;;;;1.70;1.70;;;1;;;1.70;;;;0.00;0.00;1.70;;;;100.00;;0.02;2015
71;34;A10116;Semmel ;;;;2.80;2.80;;;2;;;1.40;;;;0.00;0.00;2.80;;;;100.00;;0.04;2015
72;34;A10123;Russenzîpfli;;;;2.90;2.90;;;1;;;2.90;;;;0.00;0.00;2.90;;;;100.00;;0.04;2015
73;34;A10126;Apfel im Schlafrock;;;;2.40;2.40;;;1;;;2.40;;;;0.00;0.00;2.40;;;;100.00;;0.03;2015
74;34;A10127;Aprikosenplunder;;;;4.80;4.80;;;2;;;2.40;;;;0.00;0.00;4.80;;;;100.00;;0.06;2015
75;34;A10136;Muffin;;;;2.50;2.50;;;1;;;2.50;;;;0.00;0.00;2.50;;;;100.00;;0.03;2015
76;34;A10200;BirchermÅesli Classic;;;;28.80;28.80;;;9;;;3.20;;;;0.00;0.00;28.80;;;;100.00;;0.38;2015
77;34;A10400;Sandwich klein;;;;36.00;36.00;;;9;;;4.00;;;;0.00;0.00;36.00;;;;100.00;;0.48;2015
78;34;A10401;Sandwich Mittel;;;;31.00;31.00;;;6;;;5.17;;;;0.00;0.00;31.00;;;;100.00;;0.41;2015
79;34;A10403;Bagel 1;;;;11.00;11.00;;;2;;;5.50;;;;0.00;0.00;11.00;;;;100.00;;0.15;2015
80;34;L19000;Brotwaren offen;;;;7.00;7.00;;;1;;;7.00;;;;0.00;0.00;7.00;;;;100.00;;0.09;2015
81;34;L19100;Patisserie offen;;;;4.60;4.60;;;2;;;2.30;;;;0.00;0.00;4.60;;;;100.00;;0.06;2015
82;34;L19200;Sandwich offen;;;;9.00;9.00;;;2;;;4.50;;;;0.00;0.00;9.00;;;;100.00;;0.12;2015
83;35;A10000;KÅche;;;;140.00;140.00;;;34;;;4.12;;;;0.00;0.00;140.00;;;;100.00;;1.95;2015
84;35;A10001;Favorite;;;;3'016.00;3'016.00;;;361;;;8.35;;;;0.00;0.00;3'016.00;;;;100.00;;41.92;2015
