"";"Artikel";"name";"Bruttobetrag";"Nettobetrag";"Verkaufte.Stücke";"Gewicht.verkauft";"Durchschnittlicher.Preis";"Rabattierter.Betrag";"Durchschnittlicher.Rabatt";"Referenzbetrag";"Ref..";"Tot..Umsatz";"source";"year"
"1";"A10000";"Küche";-11454,6;-11454,6;16;NA;-715,91;0;0;-11454,6;100;191,641431463419;"KW01.xlsx";2016
"2";"A10001";"Favorite";1866;1866;237;NA;7,87;0;0;1866;100;-31,2191531010022;"KW01.xlsx";2016
"3";"A10002";"Green";1168;1168;150;NA;7,79;0;0;1168;100;-19,5412491007345;"KW01.xlsx";2016
"4";"A100039";"Portion Pommes";5,5;5,5;1;NA;5,5;0;0;5,5;100;-0,0920178681969517;"KW01.xlsx";2016
"5";"A10005";"Menu Suppe";10,5;10,5;7;NA;1,5;0;0;10,5;100;-0,175670475648726;"KW01.xlsx";2016
"6";"A10006";"Menu Salat";157;157;104;NA;1,51;0;0;157;100;-2,62669187398571;"KW01.xlsx";2016
"7";"A10007";"Senf Mayo Ketschup";7;7;14;NA;0,5;0;0;7;100;-0,117113650432484;"KW01.xlsx";2016
"8";"A10011";"Kitchen 1";140;140;14;NA;10;0;0;140;100;-2,34227300864968;"KW01.xlsx";2016
"9";"A10012";"Kitchen 2";187;187;17;NA;11;0;0;187;100;-3,12860751869636;"KW01.xlsx";2016
"10";"A10013";"Kitchen 3";60;60;5;NA;12;0;0;60;100;-1,00383128942129;"KW01.xlsx";2016
"11";"A10014";"Kitchen 4";594;594;45;NA;13,2;0;0;594;100;-9,93792976527078;"KW01.xlsx";2016
"12";"A10020";"Local 0";981;981;126;NA;7,79;0;0;981;100;-16,4126415820381;"KW01.xlsx";2016
"13";"A10030";"Market";15,1;15,1;2;0,654;23,09;0;0;15,1;100;-0,252630874504358;"KW01.xlsx";2016
"14";"A10040";"Garden";209,2;209,2;31;9,088;23,02;0;0;209,2;100;-3,50002509578224;"KW01.xlsx";2016
"15";"A10061";"Frucht -.80";3,2;3,2;4;NA;0,8;0;0;3,2;100;-0,0535376687691355;"KW01.xlsx";2016
"16";"A10063";"Frucht 1.00";4;4;4;NA;1;0;0;4;100;-0,0669220859614194;"KW01.xlsx";2016
