Artikel Analyse,,,,,,,,,,,,,,,,,,
,,,,,,Shops: 27902 Grüntal Mensa,,,,,,Gruppen: 10 Sparten SAP Küche,,,,,,
,,,,,,Kassen: Alle,,,,,,Visibility: 1 Full visibility,,,,,,
,,,,,,Bediener: Alle,,,,,,Gruppieren nach: Gruppe A,,,,,,
,,,,,,Preisebenen:Alle,,,,,,Zeige Maßeinheit: Nein,,,,,,
,,,,,,Drucke Artikel: Ja,,,,,Inkl. umsatzneutrale Artikel: Ja,,,,,,,
,,,,,,Datumsbereich: 15.10.2015 - 15.10.2015,,,,,,,,,,,,
,,,,,,Zeit Fenster: 11:00 - 13:59,,,,,,,,,,,,
,,,,,,Kunde:Alle,,,,,,,,,,,,
Gruppe,10,Sparten SAP Küche,,,,,,,,,,,,,,,,
Artikel,,,,Bruttobetrag,Nettobetrag,,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,,,,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,,Ref %,Tot %Umsatz
A10001,Favorite,,,616.00,616.00,,80,,7.70,,,,0.00,0.00,616.00,,100.00,35.99
A10002,Green,,,408.00,408.00,,53,,7.70,,,,0.00,0.00,408.00,,100.00,23.84
A10006,Menu Salat,,,52.50,52.50,,35,,1.50,,,,0.00,0.00,52.50,,100.00,3.07
A10012,Kitchen 2,,,212.00,212.00,,20,,10.60,,,,0.00,0.00,212.00,,100.00,12.39
A10014,Kitchen 4,,,51.00,51.00,,4,,12.75,,,,0.00,0.00,51.00,,100.00,2.98
A10020,Local 0,,,229.00,229.00,,31,,7.39,,,,0.00,0.00,229.00,,100.00,13.38
A10021,Local 1,,,19.00,19.00,,2,,9.50,,,,0.00,0.00,19.00,,100.00,1.11
A10030,Market,,,15.30,15.30,,2,0.668,22.90,,,,0.00,0.00,15.30,,100.00,0.89
A10040,Garden,,,28.60,28.60,,4,1.216,23.52,,,,0.00,0.00,28.60,,100.00,1.67
A10063,Frucht 1.00,,,1.00,1.00,,1,,1.00,,,,0.00,0.00,1.00,,100.00,0.06
A100700,Yogi,,,1.60,1.60,,1,,1.60,,,,0.00,0.00,1.60,,100.00,0.09
A10101,Ragusa-Gipfel ,,,10.10,10.10,,4,,2.53,,,,0.00,0.00,10.10,,100.00,0.59
A10119,Studentenschnitte ,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.14
A10121,Mandelschnecke ,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.14
A10129,Aprikosen-Bögli,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.14
A10200,Birchermüesli Classic,,,6.40,6.40,,2,,3.20,,,,0.00,0.00,6.40,,100.00,0.37
A10410,Sandwich Milano,,,4.00,4.00,,1,,4.00,,,,0.00,0.00,4.00,,100.00,0.23
A10413,Sandwich Start Your Day,,,4.50,4.50,,1,,4.50,,,,0.00,0.00,4.50,,100.00,0.26
A10415,Sandwich Turkey,,,11.00,11.00,,2,,5.50,,,,0.00,0.00,11.00,,100.00,0.64
A10416,Sandwich Ticinese,,,18.00,18.00,,3,,6.00,,,,0.00,0.00,18.00,,100.00,1.05
A10426,Bagel Sandwich Ham & Cheese,,,5.50,5.50,,1,,5.50,,,,0.00,0.00,5.50,,100.00,0.32
A10430,Bagel Sandwich Fisherman's Catch,,,11.00,11.00,,2,,5.50,,,,0.00,0.00,11.00,,100.00,0.64
Total Gruppe,,,,"1,711.70","1,711.70",,252,1.884,6.79,,,,0.00,0.00,"1,711.70",,,100.00
Total,,,,"1,711.70","1,711.70",,252,1.884,6.79,,,,0.00,0.00,"1,711.70",,,
"Dienstag, 07 März 2017 11:07",,,Gedruckt durch 201 RM,,,,,,,Visibility: 1 Full visibility,,,,,,Seite 1 von 1,,
