Artikel Analyse,,,,,,,,,,,,,,,,,,
,,,,,,Shops: 27902 Grüntal Mensa,,,,,,Gruppen: 10 Sparten SAP Küche,,,,,,
,,,,,,Kassen: Alle,,,,,,Visibility: 1 Full visibility,,,,,,
,,,,,,Bediener: Alle,,,,,,Gruppieren nach: Gruppe A,,,,,,
,,,,,,Preisebenen:Alle,,,,,,Zeige Maßeinheit: Nein,,,,,,
,,,,,,Drucke Artikel: Ja,,,,,Inkl. umsatzneutrale Artikel: Ja,,,,,,,
,,,,,,Datumsbereich: 03.11.2016 - 03.11.2016,,,,,,,,,,,,
,,,,,,Zeit Fenster: 11:00 - 13:59,,,,,,,,,,,,
,,,,,,Kunde:Alle,,,,,,,,,,,,
Gruppe,10,Sparten SAP Küche,,,,,,,,,,,,,,,,
Artikel,,,,Bruttobetrag,Nettobetrag,,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,,,,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,,Ref %,Tot %Umsatz
A10000,Küche,,,18.30,18.30,,3,,6.10,,,,0.00,0.00,18.30,,100.00,0.95
A10001,Favorite,,,802.00,802.00,,100,,8.02,,,,0.00,0.00,802.00,,100.00,41.65
A10002,Green,,,601.00,601.00,,76,,7.91,,,,0.00,0.00,601.00,,100.00,31.21
A10005,Menu Suppe,,,11.50,11.50,,7,,1.64,,,,0.00,0.00,11.50,,100.00,0.60
A10006,Menu Salat,,,3.00,3.00,,2,,1.50,,,,0.00,0.00,3.00,,100.00,0.16
A10014,Kitchen 4,,,116.00,116.00,,8,,14.50,,,,0.00,0.00,116.00,,100.00,6.02
A10040,Garden,,,282.60,282.60,,32,12.236,23.10,,,,0.00,0.00,282.60,,100.00,14.68
A10063,Frucht 1.00,,,2.00,2.00,,2,,1.00,,,,0.00,0.00,2.00,,100.00,0.10
A10101,Ragusa-Gipfel ,,,4.80,4.80,,2,,2.40,,,,0.00,0.00,4.80,,100.00,0.25
A10108,Laugenbrezel mit Butter,,,2.20,2.20,,1,,2.20,,,,0.00,0.00,2.20,,100.00,0.11
A10120,Mandelbrezel ,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.12
A10128,Aprikosenjalousie,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.12
A10130,Vanillekreuz,,,5.30,5.30,,2,,2.65,,,,0.00,0.00,5.30,,100.00,0.28
A10135,Wähe,,,9.00,9.00,,2,,4.50,,,,0.00,0.00,9.00,,100.00,0.47
A10200,Birchermüesli Classic,,,10.10,10.10,,3,,3.37,,,,0.00,0.00,10.10,,100.00,0.52
A10409,Sandwich Appenzell,,,5.50,5.50,,1,,5.50,,,,0.00,0.00,5.50,,100.00,0.29
A10413,Sandwich Start Your Day,,,4.50,4.50,,1,,4.50,,,,0.00,0.00,4.50,,100.00,0.23
A10415,Sandwich Turkey,,,5.50,5.50,,1,,5.50,,,,0.00,0.00,5.50,,100.00,0.29
A10416,Sandwich Ticinese,,,12.00,12.00,,2,,6.00,,,,0.00,0.00,12.00,,100.00,0.62
A10425,Sandwich Italien,,,6.00,6.00,,1,,6.00,,,,0.00,0.00,6.00,,100.00,0.31
A10430,Bagel Sandwich Fisherman's Catch,,,5.50,5.50,,1,,5.50,,,,0.00,0.00,5.50,,100.00,0.29
A10450,Sandwich Laugenkaiser,,,4.00,4.00,,1,,4.00,,,,0.00,0.00,4.00,,100.00,0.21
A10451,Sandwich Bauette,,,10.00,10.00,,2,,5.00,,,,0.00,0.00,10.00,,100.00,0.52
Total Gruppe,,,,"1,925.60","1,925.60",,252,12.236,7.64,,,,0.00,0.00,"1,925.60",,,100.00
Total,,,,"1,925.60","1,925.60",,252,12.236,7.64,,,,0.00,0.00,"1,925.60",,,
"Dienstag, 07 März 2017 11:39",,,Gedruckt durch 201 RM,,,,,,,Visibility: 1 Full visibility,,,,,,Seite 1 von 1,,
