"","Artikel","name","Bruttobetrag","Nettobetrag","Verkaufte.Stücke","Gewicht.verkauft","Durchschnittlicher.Preis","Rabattierter.Betrag","Durchschnittlicher.Rabatt","Referenzbetrag","Ref..","Tot..Umsatz","source","year"
"1","A10001","Favorite","1,009.00","1,009.00",125,NA,8.07,0,0,"1,009.00",100,60.79,"01.09.csv",2016
"2","A10002","Green","280.00","280.00",34,NA,8.24,0,0,"280.00",100,16.87,"01.09.csv",2016
"3","A10006","Menu Salat","8.00","8.00",4,NA,2,0,0,"8.00",100,0.48,"01.09.csv",2016
"4","A10008","Gemüseportion","1.50","1.50",1,NA,1.5,0,0,"1.50",100,0.09,"01.09.csv",2016
"5","A10040","Garden","308.20","308.20",36,13.304,23.17,0,0,"308.20",100,18.57,"01.09.csv",2016
"6","A10063","Frucht 1.00","1.00","1.00",1,NA,1,0,0,"1.00",100,0.06,"01.09.csv",2016
"7","A10114","Fitnessbrötli ","1.70","1.70",1,NA,1.7,0,0,"1.70",100,0.1,"01.09.csv",2016
"8","A10144","Trockengebäck 100g verpackt","2.20","2.20",1,NA,2.2,0,0,"2.20",100,0.13,"01.09.csv",2016
"9","A10200","Birchermüesli Classic","3.20","3.20",1,NA,3.2,0,0,"3.20",100,0.19,"01.09.csv",2016
"10","A10409","Sandwich Appenzell","5.50","5.50",1,NA,5.5,0,0,"5.50",100,0.33,"01.09.csv",2016
"11","A10410","Sandwich Milano","12.50","12.50",3,NA,4.17,0,0,"12.50",100,0.75,"01.09.csv",2016
"12","A10435","FB Sandwich Emmental","22.00","22.00",4,NA,5.5,0,0,"22.00",100,1.33,"01.09.csv",2016
"13","A10451","Sandwich Bauette","5.00","5.00",1,NA,5,0,0,"5.00",100,0.3,"01.09.csv",2016
"14","Total Gruppe","","1,659.80","1,659.80",213,13.304,7.79,0,0,"1,659.80",NA,100,"01.09.csv",2016
"15","A10001","Favorite","656.00","656.00",78,NA,8.41,0,0,"656.00",100,59.45,"02.09.csv",2016
"16","A10002","Green","202.00","202.00",25,NA,8.08,0,0,"202.00",100,18.31,"02.09.csv",2016
"17","A10007","Senf Mayo Ketschup","0.50","0.50",1,NA,0.5,0,0,"0.50",100,0.05,"02.09.csv",2016
"18","A10040","Garden","232.30","232.30",29,10.064,23.08,0,0,"232.30",100,21.05,"02.09.csv",2016
"19","A10200","Birchermüesli Classic","3.20","3.20",1,NA,3.2,0,0,"3.20",100,0.29,"02.09.csv",2016
"20","A10410","Sandwich Milano","4.00","4.00",1,NA,4,0,0,"4.00",100,0.36,"02.09.csv",2016
"21","A10435","FB Sandwich Emmental","5.50","5.50",1,NA,5.5,0,0,"5.50",100,0.5,"02.09.csv",2016
"22","Total Gruppe","","1,103.50","1,103.50",136,10.064,8.11,0,0,"1,103.50",NA,100,"02.09.csv",2016
"23","A10000","Küche","4.00","4.00",1,NA,4,0,0,"4.00",100,0.34,"05.09.csv",2016
"24","A10001","Favorite","680.00","680.00",84,NA,8.1,0,0,"680.00",100,58.58,"05.09.csv",2016
"25","A10002","Green","250.00","250.00",31,NA,8.06,0,0,"250.00",100,21.54,"05.09.csv",2016
