Artikel Analyse,,,,,,,,,,,,,,,,,,
,,,,,,Shops: 27902 Grüntal Mensa,,,,,,Gruppen: 10 Sparten SAP Küche,,,,,,
,,,,,,Kassen: Alle,,,,,,Visibility: 1 Full visibility,,,,,,
,,,,,,Bediener: Alle,,,,,,Gruppieren nach: Gruppe A,,,,,,
,,,,,,Preisebenen:Alle,,,,,,Zeige Maßeinheit: Nein,,,,,,
,,,,,,Drucke Artikel: Ja,,,,,Inkl. umsatzneutrale Artikel: Ja,,,,,,,
,,,,,,Datumsbereich: 30.09.2016 - 30.09.2016,,,,,,,,,,,,
,,,,,,Zeit Fenster: 00:00 - 23:59,,,,,,,,,,,,
,,,,,,Kunde:Alle,,,,,,,,,,,,
Gruppe,10,Sparten SAP Küche,,,,,,,,,,,,,,,,
Artikel,,,,Bruttobetrag,Nettobetrag,,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,,,,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,,Ref %,Tot %Umsatz
A10000,Küche,,,"11,624.40","11,624.40",,1322,,8.79,,,,0.00,0.00,"11,624.40",,100.00,70.62
A10001,Favorite,,,"3,281.00","3,281.00",,367,,8.94,,,,0.00,0.00,"3,281.00",,100.00,19.93
A10002,Green,,,438.00,438.00,,57,,7.68,,,,0.00,0.00,438.00,,100.00,2.66
A10006,Menu Salat,,,35.00,35.00,,20,,1.75,,,,0.00,0.00,35.00,,100.00,0.21
A10014,Kitchen 4,,,237.00,237.00,,18,,13.17,,,,0.00,0.00,237.00,,100.00,1.44
A10040,Garden,,,334.70,334.70,,37,14.476,23.12,,,,0.00,0.00,334.70,,100.00,2.03
A10063,Frucht 1.00,,,25.00,25.00,,25,,1.00,,,,0.00,0.00,25.00,,100.00,0.15
A10072,Schichtjoghurt,,,12.00,12.00,,4,,3.00,,,,0.00,0.00,12.00,,100.00,0.07
A10073,Saisonfrüchte geschnitten,,,3.50,3.50,,1,,3.50,,,,0.00,0.00,3.50,,100.00,0.02
A10100,Gipfel,,,3.90,3.90,,3,,1.30,,,,0.00,0.00,3.90,,100.00,0.02
A10101,Ragusa-Gipfel ,,,14.40,14.40,,6,,2.40,,,,0.00,0.00,14.40,,100.00,0.09
A10108,Laugenbrezel mit Butter,,,9.00,9.00,,4,,2.25,,,,0.00,0.00,9.00,,100.00,0.05
A10112,Maisbrötli,,,8.50,8.50,,5,,1.70,,,,0.00,0.00,8.50,,100.00,0.05
A10114,Fitnessbrötli ,,,8.80,8.80,,4,,2.20,,,,0.00,0.00,8.80,,100.00,0.05
A10120,Mandelbrezel ,,,4.80,4.80,,2,,2.40,,,,0.00,0.00,4.80,,100.00,0.03
A10127,Aprikosenplunder,,,4.80,4.80,,2,,2.40,,,,0.00,0.00,4.80,,100.00,0.03
A10128,Aprikosenjalousie,,,4.80,4.80,,2,,2.40,,,,0.00,0.00,4.80,,100.00,0.03
A10139,Zitronencake-Schnitte 100g verpackt,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.01
A10144,Trockengebäck 100g verpackt,,,2.70,2.70,,1,,2.70,,,,0.00,0.00,2.70,,100.00,0.02
A10200,Birchermüesli Classic,,,44.10,44.10,,13,,3.39,,,,0.00,0.00,44.10,,100.00,0.27
A10409,Sandwich Appenzell,,,11.00,11.00,,2,,5.50,,,,0.00,0.00,11.00,,100.00,0.07
A10410,Sandwich Milano,,,12.00,12.00,,3,,4.00,,,,0.00,0.00,12.00,,100.00,0.07
A10411,Sandwich Power Ham,,,4.50,4.50,,1,,4.50,,,,0.00,0.00,4.50,,100.00,0.03
A10413,Sandwich Start Your Day,,,9.00,9.00,,2,,4.50,,,,0.00,0.00,9.00,,100.00,0.05
A10417,Sandwich Softie,,,8.00,8.00,,2,,4.00,,,,0.00,0.00,8.00,,100.00,0.05
A10450,Sandwich Laugenkaiser,,,8.00,8.00,,2,,4.00,,,,0.00,0.00,8.00,,100.00,0.05
A10451,Sandwich Bauette,,,10.00,10.00,,2,,5.00,,,,0.00,0.00,10.00,,100.00,0.06
L18000,Huusbrot 1kg,,,81.60,81.60,,17,,4.80,,,,0.00,0.00,81.60,,100.00,0.50
L18006,Käseplatte 800g,,,32.00,32.00,,1,,32.00,,,,0.00,0.00,32.00,,100.00,0.19
L18007,Aufschnitt- / Wurstplatte 800g,,,28.00,28.00,,1,,28.00,,,,0.00,0.00,28.00,,100.00,0.17
L18009,Butter Portionen 10g 96Stk.,,,24.00,24.00,,1,,24.00,,,,0.00,0.00,24.00,,100.00,0.15
L18012,Chocos Kellogs Superpack 8x600g,,,55.00,55.00,,1,,55.00,,,,0.00,0.00,55.00,,100.00,0.33
L18013,Smacks Kellogs Superpack 8x600g,,,41.00,41.00,,1,,41.00,,,,0.00,0.00,41.00,,100.00,0.25
L18014,Joghurt diverse Sorten 3kg,,,37.50,37.50,,3,,12.50,,,,0.00,0.00,37.50,,100.00,0.23
Total Gruppe,,,,"16,460.40","16,460.40",,1933,14.476,8.52,,,,0.00,0.00,"16,460.40",,,100.00
Total,,,,"16,460.40","16,460.40",,"1,933",14.476,8.52,,,,0.00,0.00,"16,460.40",,,
"Dienstag, 07 März 2017 11:27",,,Gedruckt durch 201 RM,,,,,,,Visibility: 1 Full visibility,,,,,,Seite 1 von 1,,
