"";"Artikel";"name";"Bruttobetrag";"Nettobetrag";"Verkaufte.Stücke";"Gewicht.verkauft";"Durchschnittlicher.Preis";"Rabattierter.Betrag";"Durchschnittlicher.Rabatt";"Referenzbetrag";"Ref..";"Tot..Umsatz";"source";"year"
"1";"A10000";"Küche";101,2;101,2;17;NA;5,95;0;0;101,2;100;2,03425263327169;"KW34.xlsx";2015
"2";"A10001";"Favorite";2165;2165;270;NA;8,02;0;0;2165;100;43,5193374608024;"KW34.xlsx";2015
"3";"A10002";"Green";1240;1240;155;NA;8;0;0;1240;100;24,9256251507598;"KW34.xlsx";2015
"4";"A100030";"nur Fleisch Kitchen";18;18;2;NA;9;0;0;18;100;0,361823590898127;"KW34.xlsx";2015
"5";"A10006";"Menu Salat";99,5;99,5;65;NA;1,53;0;0;99,5;100;2,00008040524242;"KW34.xlsx";2015
"6";"A10007";"Senf Mayo Ketschup";0,5;0,5;1;NA;0,5;0;0;0,5;100;0,0100506553027257;"KW34.xlsx";2015
"7";"A10011";"Kitchen 1";96;96;8;NA;12;0;0;96;100;1,92972581812334;"KW34.xlsx";2015
"8";"A10012";"Kitchen 2";277;277;25;NA;11,08;0;0;277;100;5,56806303771006;"KW34.xlsx";2015
"9";"A10013";"Kitchen 3";505;505;40;NA;12,63;0;0;505;100;10,151161855753;"KW34.xlsx";2015
"10";"A10014";"Kitchen 4";134;134;8;NA;16,75;0;0;134;100;2,6935756211305;"KW34.xlsx";2015
"11";"A10022";"Local 2";43;43;4;NA;10,75;0;0;43;100;0,864356356034413;"KW34.xlsx";2015
"12";"A10023";"Local 3";60;60;5;NA;12;0;0;60;100;1,20607863632709;"KW34.xlsx";2015
"13";"A10040";"Garden";173,7;173,7;26;7,298;23,8;0;0;173,7;100;3,49159765216692;"KW34.xlsx";2015
"14";"A10063";"Frucht 1.00";1;1;1;NA;1;0;0;1;100;0,0201013106054515;"KW34.xlsx";2015
"15";"A10072";"Schichtjoghurt";6;6;2;NA;3;0;0;6;100;0,120607863632709;"KW34.xlsx";2015
"16";"A10100";"Gipfel";1,3;1,3;1;NA;1,3;0;0;1,3;100;0,0261317037870869;"KW34.xlsx";2015
"17";"A10101";"Ragusa-Gipfel ";7,2;7,2;3;NA;2,4;0;0;7,2;100;0,144729436359251;"KW34.xlsx";2015
"18";"A10105";"Schinkengipfel ";2,5;2,5;1;NA;2,5;0;0;2,5;100;0,0502532765136287;"KW34.xlsx";2015
"19";"A10108";"Laugenbrezel mit Butter";4,8;4,8;2;NA;2,4;0;0;4,8;100;0,0964862909061671;"KW34.xlsx";2015
"20";"A10109";"Brioche klein";1,7;1,7;1;NA;1,7;0;0;1,7;100;0,0341722280292675;"KW34.xlsx";2015
"21";"A10112";"Maisbrötli";1,7;1,7;1;NA;1,7;0;0;1,7;100;0,0341722280292675;"KW34.xlsx";2015
"22";"A10113";"Mandelbrötli ";1,7;1,7;1;NA;1,7;0;0;1,7;100;0,0341722280292675;"KW34.xlsx";2015
"23";"A10116";"Semmel ";1,4;1,4;1;NA;1,4;0;0;1,4;100;0,0281418348476321;"KW34.xlsx";2015
"24";"A10117";"Nuss-Semmel ";1,7;1,7;1;NA;1,7;0;0;1,7;100;0,0341722280292675;"KW34.xlsx";2015
"25";"A10122";"Nussbrille";2,5;2,5;1;NA;2,5;0;0;2,5;100;0,0502532765136287;"KW34.xlsx";2015
"26";"A10126";"Apfel im Schlafrock";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0482431454530835;"KW34.xlsx";2015
"27";"A10127";"Aprikosenplunder";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0482431454530835;"KW34.xlsx";2015
"28";"A10129";"Aprikosen-Bögli";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0482431454530835;"KW34.xlsx";2015
"29";"A10400";"Sandwich klein";4;4;1;NA;4;0;0;4;100;0,0804052424218059;"KW34.xlsx";2015
"30";"A10401";"Sandwich Mittel";5;5;1;NA;5;0;0;5;100;0,100506553027257;"KW34.xlsx";2015
"31";"L19000";"Brotwaren offen";2,8;2,8;1;NA;2,8;0;0;2,8;100;0,0562836696952641;"KW34.xlsx";2015
"32";"L19100";"Patisserie offen";4,4;4,4;2;NA;2,2;0;0;4,4;100;0,0884457666639865;"KW34.xlsx";2015
"33";"L19200";"Sandwich offen";5;5;1;NA;5;0;0;5;100;0,100506553027257;"KW34.xlsx";2015
"34";"Total Gruppe";NA;4974,8;4974,8;651;7,298;7,64;0;0;4974,8;NA;100;"KW34.xlsx";2015
"35";"A10000";"Küche";80,5;80,5;7;NA;11,5;0;0;80,5;100;1,9200954084675;"KW35.xlsx";2015
"36";"A10001";"Favorite";1561;1561;198;NA;7,88;0;0;1561;100;37,2331544424568;"KW35.xlsx";2015
"37";"A10002";"Green";937;937;122;NA;7,68;0;0;937;100;22,3494335122242;"KW35.xlsx";2015
"38";"A100039";"Portion Pommes";5,5;5,5;1;NA;5,5;0;0;5,5;100;0,13118664281455;"KW35.xlsx";2015
"39";"A10006";"Menu Salat";91,5;91,5;61;NA;1,5;0;0;91,5;100;2,1824686940966;"KW35.xlsx";2015
"40";"A10010";"Kitchen 0";8;8;1;NA;8;0;0;8;100;0,190816935002982;"KW35.xlsx";2015
"41";"A10011";"Kitchen 1";321;321;33;NA;9,73;0;0;321;100;7,65652951699463;"KW35.xlsx";2015
"42";"A10012";"Kitchen 2";176;176;16;NA;11;0;0;176;100;4,19797257006559;"KW35.xlsx";2015
"43";"A10014";"Kitchen 4";362;362;29;NA;12,48;0;0;362;100;8,63446630888491;"KW35.xlsx";2015
"44";"A10020";"Local 0";281;281;37;NA;7,59;0;0;281;100;6,70244484197973;"KW35.xlsx";2015
"45";"A10021";"Local 1";27;27;3;NA;9;0;0;27;100;0,644007155635063;"KW35.xlsx";2015
"46";"A10022";"Local 2";44;44;4;NA;11;0;0;44;100;1,0494931425164;"KW35.xlsx";2015
"47";"A10024";"Local 4";103;103;8;NA;12,88;0;0;103;100;2,45676803816339;"KW35.xlsx";2015
"48";"A10040";"Garden";155,9;155,9;26;6,786;22,97;0;0;155,9;100;3,7185450208706;"KW35.xlsx";2015
"49";"A10063";"Frucht 1.00";1;1;1;NA;1;0;0;1;100;0,0238521168753727;"KW35.xlsx";2015
"50";"A10101";"Ragusa-Gipfel ";4,8;4,8;2;NA;2,4;0;0;4,8;100;0,114490161001789;"KW35.xlsx";2015
"51";"A10118";"Brownie ";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0572450805008945;"KW35.xlsx";2015
"52";"A10122";"Nussbrille";2,5;2,5;1;NA;2,5;0;0;2,5;100;0,0596302921884317;"KW35.xlsx";2015
"53";"A10125";"Nussstange";4,8;4,8;2;NA;2,4;0;0;4,8;100;0,114490161001789;"KW35.xlsx";2015
"54";"A10126";"Apfel im Schlafrock";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0572450805008945;"KW35.xlsx";2015
"55";"A10131";"Vanille/Apfelstange";4,8;4,8;2;NA;2,4;0;0;4,8;100;0,114490161001789;"KW35.xlsx";2015
"56";"A10136";"Muffin";2,5;2,5;1;NA;2,5;0;0;2,5;100;0,0596302921884317;"KW35.xlsx";2015
"57";"A10143";"Trockengebäck Lyner verpackt";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0572450805008945;"KW35.xlsx";2015
"58";"A10200";"Birchermüesli Classic";3,2;3,2;1;NA;3,2;0;0;3,2;100;0,0763267740011926;"KW35.xlsx";2015
"59";"A10403";"Bagel 1";5,5;5,5;1;NA;5,5;0;0;5,5;100;0,13118664281455;"KW35.xlsx";2015
"60";"L19100";"Patisserie offen";2,8;2,8;1;NA;2,8;0;0;2,8;100;0,0667859272510435;"KW35.xlsx";2015
"61";"Total Gruppe";NA;4192,5;4192,5;561;6,786;7,47;0;0;4192,5;NA;100;"KW35.xlsx";2015
"62";"A10000";"Küche";34,7;34,7;8;NA;4,34;0;0;34,7;100;0,877969789742681;"KW36.xlsx";2015
"63";"A10001";"Favorite";1619;1619;207;NA;7,82;0;0;1619;100;40,9634896136427;"KW36.xlsx";2015
"64";"A10002";"Green";857;857;111;NA;7,72;0;0;857;100;21,68357665157;"KW36.xlsx";2015
"65";"A100030";"nur Fleisch Kitchen";8;8;1;NA;8;0;0;8;100;0,202413784378716;"KW36.xlsx";2015
"66";"A10004";"Brot Stück";0,3;0,3;1;NA;0,3;0;0;0,3;100;0,00759051691420186;"KW36.xlsx";2015
"67";"A10006";"Menu Salat";57;57;38;NA;1,5;0;0;57;100;1,44219821369835;"KW36.xlsx";2015
"68";"A10011";"Kitchen 1";320;320;33;NA;9,7;0;0;320;100;8,09655137514865;"KW36.xlsx";2015
"69";"A10013";"Kitchen 3";131;131;11;NA;11,91;0;0;131;100;3,31452571920148;"KW36.xlsx";2015
"70";"A10014";"Kitchen 4";320;320;25;NA;12,8;0;0;320;100;8,09655137514865;"KW36.xlsx";2015
"71";"A10020";"Local 0";206;206;27;NA;7,63;0;0;206;100;5,21215494775194;"KW36.xlsx";2015
"72";"A10021";"Local 1";132;132;12;NA;11;0;0;132;100;3,33982744224882;"KW36.xlsx";2015
"73";"A10040";"Garden";171,1;171,1;29;7,442;22,99;0;0;171,1;100;4,32912481339979;"KW36.xlsx";2015
"74";"A10063";"Frucht 1.00";1;1;1;NA;1;0;0;1;100;0,0253017230473395;"KW36.xlsx";2015
"75";"A10071";"Quark";1,7;1,7;1;NA;1,7;0;0;1,7;100;0,0430129291804772;"KW36.xlsx";2015
"76";"A10072";"Schichtjoghurt";3;3;1;NA;3;0;0;3;100;0,0759051691420186;"KW36.xlsx";2015
"77";"A10073";"Saisonfrüchte geschnitten";7;7;2;NA;3,5;0;0;7;100;0,177112061331377;"KW36.xlsx";2015
"78";"A10101";"Ragusa-Gipfel ";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0607241353136149;"KW36.xlsx";2015
"79";"A10102";"Mandelgipfel ";19,2;19,2;8;NA;2,4;0;0;19,2;100;0,485793082508919;"KW36.xlsx";2015
"80";"A10112";"Maisbrötli";1,7;1,7;1;NA;1,7;0;0;1,7;100;0,0430129291804772;"KW36.xlsx";2015
"81";"A10114";"Fitnessbrötli ";3,6;3,6;2;NA;1,8;0;0;3,6;100;0,0910862029704223;"KW36.xlsx";2015
"82";"A10136";"Muffin";27,5;27,5;11;NA;2,5;0;0;27,5;100;0,695797383801837;"KW36.xlsx";2015
