"";"Artikel";"name";"Bruttobetrag";"Nettobetrag";"Verkaufte.Stücke";"Gewicht.verkauft";"Durchschnittlicher.Preis";"Rabattierter.Betrag";"Durchschnittlicher.Rabatt";"Referenzbetrag";"Ref..";"Tot..Umsatz";"source";"year"
"1";"A10000";"Küche";43,4;43,4;8;NA;5,43;0;0;43,4;100;1,13743578991509;"KW01.xlsx";2017
"2";"A10001";"Favorite";1549;1549;198;NA;7,82;0;0;1549;100;40,5964985847573;"KW01.xlsx";2017
"3";"A10002";"Green";580;580;74;NA;7,84;0;0;580;100;15,2007547961002;"KW01.xlsx";2017
"4";"A10005";"Menu Suppe";25,5;25,5;17;NA;1,5;0;0;25,5;100;0,668309047069923;"KW01.xlsx";2017
"5";"A10006";"Menu Salat";63;63;42;NA;1,5;0;0;63;100;1,65111646923158;"KW01.xlsx";2017
"6";"A10007";"Senf Mayo Ketschup";0,5;0,5;1;NA;0,5;0;0;0,5;100;0,0131040989621554;"KW01.xlsx";2017
"7";"A10010";"Kitchen 0";135;135;17;NA;7,94;0;0;135;100;3,53810671978195;"KW01.xlsx";2017
"8";"A10011";"Kitchen 1";47;47;5;NA;9,4;0;0;47;100;1,2317853024426;"KW01.xlsx";2017
"9";"A10012";"Kitchen 2";43;43;4;NA;10,75;0;0;43;100;1,12695251074536;"KW01.xlsx";2017
"10";"A10013";"Kitchen 3";402;402;34;NA;11,82;0;0;402;100;10,5356955655729;"KW01.xlsx";2017
"11";"A10014";"Kitchen 4";177;177;14;NA;12,64;0;0;177;100;4,638851032603;"KW01.xlsx";2017
"12";"A10020";"Local 0";440;440;57;NA;7,72;0;0;440;100;11,5316070866967;"KW01.xlsx";2017
"13";"A10040";"Garden";216,2;216,2;38;9,388;23,03;0;0;216,2;100;5,66621239123598;"KW01.xlsx";2017
"14";"A10072";"Schichtjoghurt";6;6;2;NA;3;0;0;6;100;0,157249187545864;"KW01.xlsx";2017
"15";"A10101";"Ragusa-Gipfel ";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0628996750183457;"KW01.xlsx";2017
"16";"A10102";"Mandelgipfel ";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0628996750183457;"KW01.xlsx";2017
"17";"A10103";"Vanille-Gipfel";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0628996750183457;"KW01.xlsx";2017
"18";"A10108";"Laugenbrezel mit Butter";2,2;2,2;1;NA;2,2;0;0;2,2;100;0,0576580354334836;"KW01.xlsx";2017
"19";"A10114";"Fitnessbrötli ";1,7;1,7;1;NA;1,7;0;0;1,7;100;0,0445539364713282;"KW01.xlsx";2017
"20";"A10144";"Trockengebäck 100g verpackt";4,4;4,4;2;NA;2,2;0;0;4,4;100;0,115316070866967;"KW01.xlsx";2017
"21";"A10161";"Muffin gross";18;18;6;NA;3;0;0;18;100;0,471747562637593;"KW01.xlsx";2017
"22";"A10200";"Birchermüesli Classic";9,6;9,6;3;NA;3,2;0;0;9,6;100;0,251598700073383;"KW01.xlsx";2017
"23";"A10201";"Birchermüesli Saisonal";4,9;4,9;1;NA;4,9;0;0;4,9;100;0,128420169829123;"KW01.xlsx";2017
"24";"A10401";"Sandwich Mittel";5;5;1;NA;5;0;0;5;100;0,131040989621554;"KW01.xlsx";2017
"25";"A10403";"Bagel 1";5,5;5,5;1;NA;5,5;0;0;5,5;100;0,144145088583709;"KW01.xlsx";2017
"26";"A10409";"Sandwich Appenzell";5,5;5,5;1;NA;5,5;0;0;5,5;100;0,144145088583709;"KW01.xlsx";2017
"27";"A10410";"Sandwich Milano";4;4;1;NA;4;0;0;4;100;0,104832791697243;"KW01.xlsx";2017
"28";"A10413";"Sandwich Start Your Day";4,5;4,5;1;NA;4,5;0;0;4,5;100;0,117936890659398;"KW01.xlsx";2017
"29";"A10418";"Sandwich Gruyere Semmel";4;4;1;NA;4;0;0;4;100;0,104832791697243;"KW01.xlsx";2017
"30";"A10421";"Sandwich Ham & Cheese Big";6,5;6,5;1;NA;6,5;0;0;6,5;100;0,17035328650802;"KW01.xlsx";2017
"31";"A10451";"Sandwich Bauette";5;5;1;NA;5;0;0;5;100;0,131040989621554;"KW01.xlsx";2017
"32";"Total Gruppe";NA;3815,6;3815,6;536;9,388;7,12;0;0;3815,6;NA;100;"KW01.xlsx";2017
