Artikel Analyse,,,,,,,,,,,,,,,,,,
,,,,,,Shops: 27907 Vista Mensa,,,,,,Gruppen: 10 Sparten SAP Küche,,,,,,
,,,,,,Kassen: Alle,,,,,,Visibility: 1 Full visibility,,,,,,
,,,,,,Bediener: Alle,,,,,,Gruppieren nach: Gruppe A,,,,,,
,,,,,,Preisebenen:Alle,,,,,,Zeige Maßeinheit: Nein,,,,,,
,,,,,,Drucke Artikel: Ja,,,,,Inkl. umsatzneutrale Artikel: Ja,,,,,,,
,,,,,,Datumsbereich: 15.12.2015 - 15.12.2015,,,,,,,,,,,,
,,,,,,Zeit Fenster: 11:00 - 13:59,,,,,,,,,,,,
,,,,,,Kunde:Alle,,,,,,,,,,,,
Gruppe,10,Sparten SAP Küche,,,,,,,,,,,,,,,,
Artikel,,,,Bruttobetrag,Nettobetrag,,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,,,,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,,Ref %,Tot %Umsatz
A10000,Küche,,,1.90,1.90,,1,,1.90,,,,0.00,0.00,1.90,,100.00,0.11
A10001,Favorite,,,852.00,852.00,,117,,7.28,,,,0.00,0.00,852.00,,100.00,51.51
A10002,Green,,,274.00,274.00,,37,,7.41,,,,0.00,0.00,274.00,,100.00,16.56
A10005,Menu Suppe,,,4.50,4.50,,3,,1.50,,,,0.00,0.00,4.50,,100.00,0.27
A10006,Menu Salat,,,24.00,24.00,,16,,1.50,,,,0.00,0.00,24.00,,100.00,1.45
A10013,Kitchen 3,,,72.00,72.00,,6,,12.00,,,,0.00,0.00,72.00,,100.00,4.35
A10020,Local 0,,,308.00,308.00,,42,,7.33,,,,0.00,0.00,308.00,,100.00,18.62
A10040,Garden,,,69.30,69.30,,11,2.948,23.51,,,,0.00,0.00,69.30,,100.00,4.19
A10072,Schichtjoghurt,,,3.00,3.00,,1,,3.00,,,,0.00,0.00,3.00,,100.00,0.18
A10073,Saisonfrüchte geschnitten,,,3.50,3.50,,1,,3.50,,,,0.00,0.00,3.50,,100.00,0.21
A10102,Mandelgipfel ,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.15
A10108,Laugenbrezel mit Butter,,,2.20,2.20,,1,,2.20,,,,0.00,0.00,2.20,,100.00,0.13
A10126,Apfel im Schlafrock,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.15
A10136,Muffin,,,2.50,2.50,,1,,2.50,,,,0.00,0.00,2.50,,100.00,0.15
A10144,Trockengebäck 100g verpackt,,,2.20,2.20,,1,,2.20,,,,0.00,0.00,2.20,,100.00,0.13
A10161,Muffin gross,,,9.00,9.00,,3,,3.00,,,,0.00,0.00,9.00,,100.00,0.54
A10200,Birchermüesli Classic,,,12.80,12.80,,4,,3.20,,,,0.00,0.00,12.80,,100.00,0.77
A10400,Sandwich klein,,,4.00,4.00,,1,,4.00,,,,0.00,0.00,4.00,,100.00,0.24
A10413,Sandwich Start Your Day,,,4.50,4.50,,1,,4.50,,,,0.00,0.00,4.50,,100.00,0.27
Total Gruppe,,,,"1,654.20","1,654.20",,249,2.948,6.64,,,,0.00,0.00,"1,654.20",,,100.00
Total,,,,"1,654.20","1,654.20",,249,2.948,6.64,,,,0.00,0.00,"1,654.20",,,
"Mittwoch, 08 März 2017 11:49",,,Gedruckt durch 201 RM,,,,,,,Visibility: 1 Full visibility,,,,,,Seite 1 von 1,,
