Artikel Analyse,,,,,,,,,,,,,,,,,,
,,,,,,Shops: 27907 Vista Mensa,,,,,,Gruppen: 10 Sparten SAP Küche,,,,,,
,,,,,,Kassen: Alle,,,,,,Visibility: 1 Full visibility,,,,,,
,,,,,,Bediener: Alle,,,,,,Gruppieren nach: Gruppe A,,,,,,
,,,,,,Preisebenen:Alle,,,,,,Zeige Maßeinheit: Nein,,,,,,
,,,,,,Drucke Artikel: Ja,,,,,Inkl. umsatzneutrale Artikel: Ja,,,,,,,
,,,,,,Datumsbereich: 04.11.2015 - 04.11.2015,,,,,,,,,,,,
,,,,,,Zeit Fenster: 11:00 - 13:59,,,,,,,,,,,,
,,,,,,Kunde:Alle,,,,,,,,,,,,
Gruppe,10,Sparten SAP Küche,,,,,,,,,,,,,,,,
Artikel,,,,Bruttobetrag,Nettobetrag,,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,,,,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,,Ref %,Tot %Umsatz
A10001,Favorite,,,768.00,768.00,,103,,7.46,,,,0.00,0.00,768.00,,100.00,54.87
A10002,Green,,,143.00,143.00,,20,,7.15,,,,0.00,0.00,143.00,,100.00,10.22
A10005,Menu Suppe,,,7.50,7.50,,5,,1.50,,,,0.00,0.00,7.50,,100.00,0.54
A10006,Menu Salat,,,1.50,1.50,,1,,1.50,,,,0.00,0.00,1.50,,100.00,0.11
A10010,Kitchen 0,,,14.00,14.00,,2,,7.00,,,,0.00,0.00,14.00,,100.00,1.00
A10013,Kitchen 3,,,96.00,96.00,,8,,12.00,,,,0.00,0.00,96.00,,100.00,6.86
A10020,Local 0,,,245.00,245.00,,32,,7.66,,,,0.00,0.00,245.00,,100.00,17.50
A10022,Local 2,,,11.00,11.00,,1,,11.00,,,,0.00,0.00,11.00,,100.00,0.79
A10040,Garden,,,51.30,51.30,,8,2.232,22.98,,,,0.00,0.00,51.30,,100.00,3.67
A10063,Frucht 1.00,,,2.00,2.00,,2,,1.00,,,,0.00,0.00,2.00,,100.00,0.14
A10102,Mandelgipfel ,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.17
A10104,Schoggi-Gipfel ,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.17
A10105,Schinkengipfel ,,,5.00,5.00,,2,,2.50,,,,0.00,0.00,5.00,,100.00,0.36
A10108,Laugenbrezel mit Butter,,,2.20,2.20,,1,,2.20,,,,0.00,0.00,2.20,,100.00,0.16
A10135,Wähe,,,3.90,3.90,,1,,3.90,,,,0.00,0.00,3.90,,100.00,0.28
A10139,Zitronencake-Schnitte 100g verpackt,,,9.60,9.60,,4,,2.40,,,,0.00,0.00,9.60,,100.00,0.69
A10144,Trockengebäck 100g verpackt,,,2.20,2.20,,1,,2.20,,,,0.00,0.00,2.20,,100.00,0.16
A10200,Birchermüesli Classic,,,6.40,6.40,,2,,3.20,,,,0.00,0.00,6.40,,100.00,0.46
A10201,Birchermüesli Saisonal,,,4.90,4.90,,1,,4.90,,,,0.00,0.00,4.90,,100.00,0.35
A10401,Sandwich Mittel,,,5.00,5.00,,1,,5.00,,,,0.00,0.00,5.00,,100.00,0.36
A10409,Sandwich Appenzell,,,5.50,5.50,,1,,5.50,,,,0.00,0.00,5.50,,100.00,0.39
A10410,Sandwich Milano,,,4.00,4.00,,1,,4.00,,,,0.00,0.00,4.00,,100.00,0.29
A10450,Sandwich Laugenkaiser,,,4.00,4.00,,1,,4.00,,,,0.00,0.00,4.00,,100.00,0.29
L19100,Patisserie offen,,,2.90,2.90,,1,,2.90,,,,0.00,0.00,2.90,,100.00,0.21
Total Gruppe,,,,"1,399.70","1,399.70",,201,2.232,6.96,,,,0.00,0.00,"1,399.70",,,100.00
Total,,,,"1,399.70","1,399.70",,201,2.232,6.96,,,,0.00,0.00,"1,399.70",,,
"Mittwoch, 08 März 2017 11:40",,,Gedruckt durch 201 RM,,,,,,,Visibility: 1 Full visibility,,,,,,Seite 1 von 1,,
